project, imports, javaFiles, imports/javaFiles
android-AutofillFramework, 1117, 348, 3.21
android-play-location, 303, 22, 13.77
google-services, 236, 19, 12.42
easypermissions, 292, 28, 10.43
android-testing, 555, 58, 9.57
android-Camera2Basic, 60, 4, 15.00
android-credentials, 228, 17, 13.41
android-EmojiCompat, 28, 3, 9.33
android-instant-apps, 379, 38, 9.97
android-nearby, 254, 15, 16.93
android-AppUsageStatistics, 46, 6, 7.67
android-custom-lint-rules, 58, 7, 8.29
android-play-billing, 252, 35, 7.20
android-vision, 591, 48, 12.31
android-ads, 325, 26, 12.50
android-SpeedTracker, 120, 12, 10.00
android-BluetoothLeGatt, 59, 4, 14.75
android-Camera2Raw, 76, 4, 19.00
android-WifiRttScan, 62, 4, 15.50
android-ActionBarCompat-ShareActionProvider, 31, 4, 7.75
android-testdpc, 1968, 126, 15.62
android-PictureInPicture, 108, 5, 21.60
android-ActivitySceneTransitionBasic, 42, 11, 3.82
android-Camera2Video, 51, 3, 17.00
android-Notifications, 250, 23, 10.87
android-BasicAccessibility, 28, 9, 3.11
android-XYZTouristAttractions, 288, 18, 16.00
android-WearVerifyRemoteApp, 42, 2, 21.00
android-WearSpeakerSample, 46, 3, 15.33
android-WearHighBandwidthNetworking, 17, 1, 17.00
android-WearDrawers, 20, 2, 10.00
android-WearComplicationProvidersTestSuite, 56, 8, 7.00
android-WearAccessibilityApp, 230, 32, 7.19
android-WatchFace, 263, 17, 15.47
android-RuntimePermissionsWear, 103, 8, 12.88
android-JumpingJack, 64, 12, 5.33
android-DataLayer, 144, 8, 18.00
android-AlwaysOn, 20, 1, 20.00
android-MediaEffects, 54, 11, 4.91
android-DirectBoot, 91, 9, 10.11
leanback-showcase, 1487, 154, 9.66
android-MessagingService, 62, 7, 8.86
androidtv-sample-inputs, 835, 59, 14.15
leanback-homescreen-channels, 213, 22, 9.68
android-play-publisher-api, 195, 12, 16.25
androidtv-Leanback, 468, 38, 12.32
android-BluetoothChat, 85, 12, 7.08
android-MediaRecorder, 38, 3, 12.67
android-fit, 185, 31, 5.97
android-DisplayingBitmaps, 222, 21, 10.57
android-testing-templates, 112, 13, 8.62
android-ActivityInstrumentation, 30, 8, 3.75
chromeos-android-draganddrop-demo, 26, 3, 8.67
android-BasicRenderScript, 12, 2, 6.00
android-TensorFlowCloudMachineLearningEngineStylizer, 107, 7, 15.29
android-CustomChoiceList, 27, 9, 3.00
android-WatchViewStub, 11, 1, 11.00
android-Timer, 35, 6, 5.83
android-TextSwitcher, 25, 7, 3.57
android-TextLinkify, 27, 8, 3.38
android-SynchronizedNotifications, 85, 13, 6.54
android-SwipeRefreshMultipleViews, 81, 14, 5.79
android-SwipeRefreshListFragment, 81, 14, 5.79
android-SwipeRefreshLayoutBasic, 73, 13, 5.62
android-StorageProvider, 62, 10, 6.20
android-StorageClient, 52, 10, 5.20
android-SlidingTabsColors, 70, 13, 5.38
android-SlidingTabsBasic, 62, 12, 5.17
android-SkeletonWearableApp, 34, 2, 17.00
android-ShareActionProvider, 33, 4, 8.25
android-ScreenCapture, 54, 10, 5.40
android-ScopedDirectoryAccess, 37, 4, 9.25
android-RuntimePermissions, 60, 6, 10.00
android-RevealEffectBasic, 41, 10, 4.10
android-RepeatingAlarm, 36, 9, 4.00
android-RenderScriptIntrinsic, 35, 3, 11.67
android-RecyclerView, 44, 10, 4.40
android-RecipeAssistant, 81, 14, 5.79
android-Quiz, 142, 8, 17.75
android-PermissionRequest, 86, 13, 6.62
android-PdfRendererBasic, 30, 3, 10.00
android-NotificationChannels, 19, 2, 9.50
android-NfcProvisioning, 84, 13, 6.46
android-NetworkConnect, 28, 4, 7.00
android-NavigationDrawer, 55, 10, 5.50
android-MultiWindowPlayground, 60, 14, 4.29
android-MidiSynth, 98, 25, 3.92
android-MidiScope, 110, 28, 3.93
android-MediaRouter, 169, 17, 9.94
android-MediaBrowserService, 122, 9, 13.56
