nameProject,total,add,modify,delete,tipoDistinct,java,javaDistinct,properties,jar,jarDistinct,build.gradle,buildDistinct,pom.xml,pomDistinct,manifest.xml,manifestDistinct,xml,xmlDistinct,bat,batDistinct,md,adoc,read,yaml,yamlDistinct,txt,txtDistinct,sh,shDistinct,travisyml,yml,ymlDistinct,cmd,cmdDistinct,kt,ktDistinct,json,jsonDistinct,other
wmh-demos/android-AutofillFramework,28,2,26,0,4,20,11,3,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
KlausKrieger/android-play-location,66,11,55,0,6,35,9,0,0,0,7,4,0,0,3,1,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9
colinsung/google-services,22,3,18,1,5,1,1,0,0,0,14,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,2,0
martijndebruijn/google-services,1286,499,630,157,35,75,33,16,10,8,81,17,0,0,19,7,123,65,8,7,56,0,56,4,3,0,0,3,1,0,1,1,0,0,0,0,20,12,889
catalant-backup/google-services,152,47,101,4,6,75,14,0,0,0,4,2,0,0,8,1,53,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,19
GulajavaMinistudio/easypermissions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shucc/easypermissions,111,19,84,8,5,54,12,0,0,0,16,3,0,0,0,0,26,11,0,0,14,0,14,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
CRSingh/android-testing,16,12,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
cscsmeca/android-testing,12,0,12,0,1,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
betty200744/android-testing,48,2,46,0,4,23,16,8,0,0,16,16,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scinfu/android-testing,547,34,17,496,19,58,58,28,36,36,32,32,0,0,26,26,169,168,15,15,19,0,19,2,2,1,1,1,1,0,0,0,0,0,9,9,0,0,177
RoundSparrow/android-Camera2Basic,16,0,16,0,4,8,1,1,0,0,2,1,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
willchamberlain/android-Camera2Basic,201,137,35,29,5,119,106,0,0,0,6,2,0,0,5,3,70,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
ultra-sonic/android-Camera2Basic,17,1,16,0,3,10,1,0,0,0,0,0,0,0,1,1,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Thommil/animals-go-android,325,182,77,66,16,232,166,1,1,1,11,6,0,0,8,5,27,19,1,1,2,0,2,3,3,0,0,0,0,0,0,0,0,0,9,9,0,0,38
sxmon/android-Camera2Basic,603,553,50,0,14,164,143,7,8,8,8,3,0,0,9,6,42,35,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,13,11,352
tomoima525/android-Camera2Basic,65,22,43,0,7,4,4,1,0,0,4,3,0,0,0,0,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,12,0,0,5
Salman-H/android-Camera2Basic,30,6,24,0,5,17,2,0,0,0,1,1,0,0,2,1,6,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
vazgen-vazg/android-instant-apps,20,4,16,0,5,0,0,0,0,0,11,1,0,0,0,0,3,3,2,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1
shimondoodkin/android-play-billing,10,0,10,0,1,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
manuelfidalgo/android,221,14,45,162,15,57,51,15,7,7,22,18,0,0,11,8,57,48,7,7,3,0,3,1,1,0,0,5,2,0,0,0,0,0,0,0,0,0,47
innocarpe/android-vision,42,9,33,0,4,30,14,0,0,0,3,2,0,0,1,1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
AbdulDroid/android-vision,22,0,22,0,2,0,0,5,0,0,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nayzaa/android-vision,174,131,38,5,13,30,19,3,1,1,5,4,0,0,2,2,43,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
sharraj/android-vision,100,26,71,3,5,52,15,1,0,0,10,2,0,0,6,1,36,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
nikhilshenoy/android-vision,60,6,54,0,4,31,4,0,0,0,0,0,0,0,1,1,27,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
hoopoe/FR-android-dlib-opencv,12050,5841,399,5810,68,1018,628,27,11,10,68,23,0,0,31,13,358,142,15,11,39,0,39,4,2,410,134,16,8,22,16,4,0,0,0,0,84,34,9984
safebutler/android-vision,30,4,26,0,6,7,4,2,0,0,8,4,0,0,3,1,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
Buggaboo/android-SpeedTracker,21,1,20,0,5,3,2,1,0,0,5,3,0,0,4,2,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
ChristianBecker/android_ibeacon,79,12,29,38,8,20,7,1,0,0,7,2,0,0,4,2,35,23,0,0,3,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11
