project , java , properties , jar , build.gradle , pom.xml , manifest.xml , xml , bat , md , adoc , README , yaml , txt , sh , travis.yml , yml , cmd , kt , json , others
android-AutofillFramework, 348, 9, 801, 5, 0, 7, 554, 2, 4, 0, 2, 2, 25, 0, 0, 0, 0, 26, 492, 10177
android-play-location, 22, 14, 5, 19, 0, 10, 60, 10, 9, 0, 8, 2, 0, 0, 0, 0, 0, 4, 0, 95
google-services, 19, 7, 4, 9, 0, 4, 36, 4, 9, 0, 7, 0, 0, 1, 1, 2, 0, 0, 16, 184
easypermissions, 28, 2, 1, 3, 0, 2, 13, 1, 3, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 23
android-testing, 58, 30, 35, 32, 0, 27, 153, 16, 19, 0, 18, 2, 1, 2, 0, 1, 0, 7, 0, 148
android-Camera2Basic, 4, 2, 2, 4, 0, 3, 24, 2, 5, 0, 2, 4, 0, 0, 0, 0, 0, 9, 0, 36
android-credentials, 17, 6, 3, 6, 0, 3, 30, 3, 5, 0, 4, 0, 0, 1, 0, 0, 0, 0, 0, 45
android-EmojiCompat, 3, 4, 2, 4, 0, 2, 14, 2, 4, 0, 2, 2, 0, 0, 0, 0, 0, 4, 0, 29
android-instant-apps, 38, 21, 13, 64, 0, 39, 175, 13, 15, 0, 14, 11, 0, 1, 0, 0, 0, 14, 0, 170
android-nearby, 15, 8, 4, 8, 0, 4, 36, 4, 9, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 64
android-AppUsageStatistics, 6, 1, 1, 2, 0, 1, 16, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 26
android-custom-lint-rules, 7, 3, 2, 4, 0, 1, 1, 2, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 17
android-play-billing, 35, 11, 4, 13, 0, 8, 58, 4, 9, 0, 7, 2, 0, 0, 0, 0, 0, 41, 14, 167
android-vision, 48, 15, 8, 16, 0, 8, 47, 8, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 46
android-ads, 26, 16, 10, 20, 0, 10, 84, 10, 11, 0, 11, 10, 0, 0, 0, 0, 0, 0, 1, 140
android-SpeedTracker, 12, 2, 1, 4, 0, 3, 22, 1, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 39
android-BluetoothLeGatt, 4, 1, 1, 2, 0, 1, 15, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 22
android-Camera2Raw, 4, 1, 1, 2, 0, 2, 15, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 25
android-WifiRttScan, 4, 2, 1, 2, 0, 1, 24, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 31
android-ActionBarCompat-ShareActionProvider, 4, 1, 1, 2, 0, 2, 15, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 25
android-testdpc, 126, 1, 1, 2, 0, 2, 84, 1, 1, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 46
android-PictureInPicture, 5, 4, 2, 4, 0, 2, 38, 2, 4, 0, 2, 2, 0, 0, 0, 0, 0, 5, 0, 35
android-ActivitySceneTransitionBasic, 11, 1, 1, 2, 0, 2, 17, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 24
