framework,project,todos nao distintos,todos distintos,apenas do framework nao distintos,apenas do framework distinto
Spring,getting-started-guides,5.67,4.33,1.33,1.33
Spring,gs-accessing-data-gemfire,6.00,5.67,1.00,1.00
Spring,gs-accessing-data-jpa,5.00,4.75,1.25,1.25
Spring,gs-accessing-data-mongodb,4.00,3.50,1.00,1.00
Spring,gs-accessing-data-mysql,4.00,3.75,0.50,0.50
Spring,gs-accessing-data-neo4j,6.33,6.33,1.00,1.00
Spring,gs-accessing-data-rest,5.75,5.00,1.00,1.00
Spring,gs-accessing-gemfire-data-rest,8.50,6.25,1.00,1.00
Spring,gs-accessing-mongodb-data-rest,5.25,4.50,1.00,1.00
Spring,gs-accessing-neo4j-data-rest,6.50,5.75,1.25,1.25
Spring,gs-accessing-vault,10.50,9.50,2.00,2.00
Spring,gs-actuator-service,4.40,4.00,1.40,1.00
Spring,gs-async-method,4.75,4.00,1.00,1.00
Spring,gs-authenticating-ldap,4.20,3.80,0.80,0.80
Spring,gs-batch-processing,6.80,6.00,0.40,0.40
Spring,gs-caching,1.60,0.80,0.60,0.30
Spring,gs-caching-gemfire,5.50,4.75,0.75,0.75
Spring,gs-centralized-configuration,6.25,4.25,1.75,1.00
Spring,gs-circuit-breaker,8.50,4.00,1.67,1.00
Spring,gs-client-side-load-balancing,10.60,6.60,2.40,1.20
Spring,gs-consuming-rest,4.25,3.75,1.25,1.25
Spring,gs-consuming-web-service,4.67,4.00,1.00,1.00
Spring,gs-contract-rest,3.87,1.73,0.93,0.33
Spring,gs-crud-with-vaadin,6.73,3.91,0.82,0.45
Spring,gs-gateway,7.00,6.00,2.33,1.67
Spring,gs-gradle,1.60,1.40,0.00,0.00
Spring,gs-handling-form-submission,2.57,2.14,0.43,0.43
Spring,gs-integration,8.50,8.50,1.50,1.50
Spring,gs-managing-transactions,4.33,3.33,1.00,1.00
Spring,gs-maven,0.80,0.60,0.00,0.00
Spring,gs-messaging-gcp-pubsub,12.00,12.00,1.00,1.00
Spring,gs-messaging-jms,5.00,5.00,1.00,1.00
Spring,gs-messaging-rabbitmq,5.20,4.60,1.00,1.00
Spring,gs-messaging-redis,8.00,6.50,1.00,1.00
Spring,gs-messaging-stomp-websocket,6.17,6.17,0.67,0.67
Spring,gs-multi-module,4.40,2.80,1.40,1.00
Spring,gs-producing-web-service,7.80,7.60,1.20,1.20
Spring,gs-reactive-rest-service,5.20,4.20,0.60,0.60
Spring,gs-relational-data-access,5.00,5.00,1.50,1.50
Spring,gs-rest-hateoas,6.20,4.80,1.40,1.20
Spring,gs-rest-service,4.25,3.50,1.00,1.00
Spring,gs-rest-service-cors,5.75,5.75,1.00,1.00
Spring,gs-scheduling-tasks,6.25,4.50,1.25,1.00
Spring,gs-securing-web,5.67,3.83,1.00,0.67
Spring,gs-service-registration-and-discovery,10.25,6.50,3.00,1.50
Spring,gs-serving-web-content,3.00,2.60,0.60,0.60
Spring,gs-spring-boot,6.33,3.83,1.67,1.17
Spring,gs-spring-boot-docker,6.00,5.33,2.67,2.00
Spring,gs-spring-boot-for-azure,5.67,4.33,1.33,1.33
Spring,gs-testing-restdocs,5.75,3.75,1.25,1.25
Spring,gs-testing-web,6.67,2.11,1.33,1.00
Spring,gs-uploading-files,7.00,3.50,0.94,0.62
Spring,gs-validating-form-input,5.50,5.25,1.00,1.00
Spring,gs-vault-config,4.33,4.33,2.00,2.00
Spring,quoters,3.17,3.00,0.50,0.50
Spring,tut-rest,4.11,0.97,0.32,0.08
Spring,tut-spring-boot-oauth2,11.12,3.25,03.06,0.94
