repository,forks,diskUsage_KB,stargazers,watchers,issues,commits,pullRequests,updatedAt,projects
android-EmojiCompat,112,248,604,26,18,5,4,2018-11-12T09:58:26Z,0
android-fido,15,389,38,15,0,12,2,2018-10-15T10:38:42Z,0
android-FindMyPhone,47,269,46,24,2,28,0,2018-10-15T10:03:52Z,0
android-FingerprintDialog,433,623,1162,98,45,25,7,2018-11-13T13:06:19Z,0
android-fit,336,501,330,61,35,54,7,2018-11-12T07:06:24Z,0
android-Flashlight,32,231,28,21,0,27,0,2018-10-15T10:02:49Z,0
android-FloatingActionButtonBasic,68,479,186,24,4,25,0,2018-11-14T07:35:06Z,0
android-gcmnetworkmanager,39,91,45,15,3,7,1,2018-10-25T11:00:15Z,0
android-Geofencing,95,990,88,32,9,28,2,2018-11-08T10:51:26Z,0
android-google-accounts,33,314,56,20,1,11,0,2018-10-15T10:27:12Z,0
android-GridViewPager,38,1357,51,21,1,27,1,2018-11-06T02:47:57Z,0
android-HdrViewfinder,41,947,97,24,5,24,0,2018-10-17T13:46:26Z,0
android-HorizontalPaging,34,248,66,19,0,25,0,2018-09-26T13:35:46Z,0
android-ImmersiveMode,25,119,48,18,3,24,0,2018-11-03T10:32:37Z,0
android-instant-apps,239,782,802,63,47,36,11,2018-11-13T02:37:21Z,0
android-Interpolator,37,283,88,24,4,23,2,2018-11-09T18:29:01Z,0
android-JobScheduler,245,993,646,53,8,26,1,2018-11-14T11:38:03Z,0
android-JumpingJack,21,191,36,21,0,30,0,2018-07-28T04:57:36Z,0
android-key-attestation,10,67,21,14,0,3,2,2018-11-12T07:21:37Z,0
android-LNotifications,47,566,53,22,3,25,0,2018-10-25T06:09:58Z,0
android-MediaBrowserService,140,12899,332,45,7,26,1,2018-11-05T23:22:37Z,0
android-MediaEffects,56,1399,92,20,2,24,1,2018-11-12T06:52:13Z,0
android-MediaRecorder,159,982,243,37,16,27,5,2018-11-11T13:27:01Z,0
android-MediaRouter,22,169,39,18,1,24,0,2018-11-08T09:08:54Z,0
android-MessagingService,141,399,204,46,4,29,2,2018-11-06T13:36:44Z,0
android-MidiScope,22,431,28,9,2,12,0,2018-10-18T02:07:20Z,0
android-MidiSynth,25,199,63,16,1,12,0,2018-08-10T14:06:25Z,0
android-MultiWindowPlayground,156,351,408,73,4,9,2,2018-11-01T11:55:32Z,0
android-NavigationDrawer,165,546,263,48,6,26,6,2018-11-08T03:16:24Z,0
android-nearby,292,483,415,71,55,37,14,2018-11-12T04:08:00Z,0
android-NetworkConnect,114,260,121,35,6,25,1,2018-11-02T12:15:41Z,0
android-NfcProvisioning,53,287,109,34,3,19,0,2018-10-23T10:57:08Z,0
android-NotificationChannels,142,986,273,35,12,5,9,2018-11-10T15:32:48Z,0
android-Notifications,40,675,68,24,5,12,1,2018-11-12T09:31:14Z,0
android-OurStreets,46,162,352,29,3,7,0,2018-11-11T13:42:43Z,0
android-PdfRendererBasic,142,804,464,47,23,25,3,2018-11-12T02:38:38Z,0
android-PermissionRequest,37,838,62,27,2,21,0,2018-09-20T20:36:21Z,0
android-PictureInPicture,271,8217,1298,57,13,6,1,2018-11-13T06:02:10Z,0
android-play-awareness,19,98,42,11,3,3,0,2018-10-30T08:24:07Z,0
android-play-billing,725,3146,851,112,141,65,25,2018-11-12T07:52:51Z,0
android-play-games-in-motion,42,2223,155,25,2,6,0,2018-10-15T10:45:17Z,0
android-play-location,2082,674,1554,174,144,71,34,2018-11-12T17:17:15Z,0
android-play-places,638,288,465,61,68,24,6,2018-11-12T11:55:56Z,0
android-play-publisher-api,181,28,314,53,41,11,7,2018-11-12T16:50:06Z,0
android-play-safetynet,50,397,113,13,9,20,5,2018-11-14T10:49:09Z,0
android-Quiz,53,552,47,24,0,28,0,2018-10-10T16:14:35Z,0
android-RecipeAssistant,31,3306,25,18,0,27,0,2018-10-22T03:20:37Z,0
android-RecyclerView,337,503,561,81,20,25,4,2018-11-14T06:27:44Z,0
android-RenderScriptIntrinsic,24,2858,58,13,1,23,1,2018-10-13T14:48:21Z,0
android-RepeatingAlarm,79,116,96,17,1,24,0,2018-11-08T00:21:31Z,0
android-RevealEffectBasic,47,404,171,22,1,24,0,2018-10-22T03:20:21Z,0
android-RuntimePermissions,395,589,1203,93,10,16,12,2018-11-13T17:28:54Z,0
android-RuntimePermissionsWear,18,288,12,9,1,21,0,2018-07-28T04:57:39Z,0
android-ScopedDirectoryAccess,56,334,109,33,2,13,2,2018-10-09T02:13:41Z,0
android-ScreenCapture,238,334,803,76,16,20,1,2018-11-13T14:04:40Z,0
android-ShareActionProvider,10,1559,13,10,2,5,0,2018-09-12T07:14:42Z,0
android-SimpleMediaPlayer,61,6551,117,17,0,3,0,2018-11-13T15:59:10Z,0
android-SkeletonWearableApp,31,179,50,26,2,27,2,2018-08-18T08:25:59Z,0
android-SlidingTabsBasic,91,126,191,35,4,26,3,2018-11-11T14:42:19Z,0
android-SlidingTabsColors,64,273,144,31,2,24,0,2018-10-26T00:27:13Z,0
android-SpeedTracker,86,228,122,33,5,32,4,2018-10-31T21:33:14Z,0
android-StorageClient,39,340,58,20,0,24,0,2018-11-08T08:29:46Z,0
android-StorageProvider,46,653,82,20,5,26,1,2018-10-11T08:47:02Z,0
android-SwipeRefreshLayoutBasic,55,137,76,21,0,24,0,2018-10-31T09:14:38Z,0
android-SwipeRefreshListFragment,85,886,163,32,1,24,1,2018-11-09T02:29:39Z,0
android-SwipeRefreshMultipleViews,83,135,252,36,1,24,1,2018-11-07T16:07:33Z,0
android-SynchronizedNotifications,63,449,97,32,0,28,0,2018-08-14T17:17:45Z,0
android-TensorFlowCloudMachineLearningEngineStylizer,5,4115,6,11,0,2,0,2018-09-22T17:31:14Z,0
android-testdpc,134,6879,222,69,66,844,6,2018-11-08T03:05:23Z,0
android-testing,2194,11243,5856,446,125,183,91,2018-11-12T16:00:33Z,0
android-testing-templates,267,167,1759,137,20,28,13,2018-11-09T11:20:14Z,0
android-TextLinkify,51,523,162,19,4,24,0,2018-11-08T06:44:14Z,0
android-TextSwitcher,60,265,140,24,0,24,0,2018-10-22T03:17:52Z,0
android-Timer,58,357,75,31,0,27,0,2018-10-03T19:51:43Z,0
android-unsplash,70,176,439,23,7,34,4,2018-10-31T05:56:40Z,0
android-vision,1475,731,2426,231,357,76,33,2018-11-11T22:45:20Z,0
android-WatchFace,151,2924,274,54,14,31,7,2018-11-04T02:29:09Z,0
android-WatchViewStub,32,176,47,22,2,27,0,2018-07-16T12:46:46Z,0
android-WclDemoSample,15,875,13,11,1,2,0,2018-06-27T15:56:10Z,0
android-WearAccessibilityApp,5,785,2,15,2,5,0,2018-07-28T04:57:48Z,0
android-WearCompanionLibrary,20,452,45,13,5,11,4,2018-06-27T15:56:13Z,0
android-WearComplicationProvidersTestSuite,13,1175,18,8,0,7,0,2018-07-28T04:57:50Z,0
android-WearDrawers,24,1253,28,12,0,12,0,2018-11-05T16:33:50Z,0
android-WearHighBandwidthNetworking,18,262,13,10,0,9,0,2018-11-07T22:35:03Z,0
android-WearOAuth,9,88,6,21,2,3,0,2018-09-13T00:16:41Z,0
android-WearSpeakerSample,31,624,37,23,3,15,0,2018-11-06T18:52:50Z,0
android-WearStandaloneGoogleSignIn,11,90,13,19,2,3,0,2018-06-14T08:31:27Z,0
android-WearVerifyRemoteApp,27,2146,35,12,3,13,1,2018-11-10T16:03:40Z,0
android-WifiRttScan,5,2180,10,18,1,1,0,2018-10-24T23:03:17Z,0
android-XYZTouristAttractions,173,26398,373,55,8,24,3,2018-11-09T04:48:32Z,0
androidtv-daydream,12,222,18,9,0,3,0,2018-03-12T09:02:35Z,0
androidtv-GameController,25,790,24,23,0,8,0,2018-02-12T13:54:38Z,0
androidtv-Leanback,385,8076,922,117,86,258,49,2018-11-13T01:13:45Z,0
androidtv-sample-inputs,140,23988,277,59,27,195,5,2018-11-10T09:56:54Z,0
androidtv-VisualGameController,20,5994,31,21,1,2,0,2018-09-07T14:09:26Z,0
attendee-checkin,14,2393,30,10,0,2,0,2018-10-22T03:31:03Z,0
chromeos-android-draganddrop-demo,2,153,3,9,0,11,0,2018-07-22T04:38:58Z,0
easypermissions,1083,508,6612,245,160,164,98,2018-11-12T13:15:42Z,0
google-services,2323,8508,2319,249,299,628,89,2018-11-12T03:17:03Z,0
identity-toolkit-android,39,2360,47,24,16,29,7,2018-10-15T10:24:10Z,0
leanback-assistant,19,3482,42,12,0,4,0,2018-11-20T18:05:07Z,0
leanback-homescreen-channels,11,7367,9,11,0,11,0,2018-09-03T05:49:33Z,0
leanback-showcase,164,87624,417,50,39,40,28,2018-11-25T09:31:04Z,0
repository,forks,diskUsage_KB,stargazers,watchers,issues,commits,pullRequests,updatedAt,projects
