framework ,samples ,framework contributors ,sample contributors ,common contributors ,common/framework ,common/sample
android, android-AutofillFramework ,3261,28,0,0,0
android, android-play-location ,3261,80,1,"0,000306654400491","0,0125"
android, google-services ,3261,630,5,"0,001533272002453","0,007936507936508"
android, easypermissions ,3261,175,0,0,0
android, android-testing ,3261,225,5,"0,001533272002453","0,022222222222222"
android, android-Camera2Basic ,3261,30,2,"0,000613308800981","0,066666666666667"
android, android-credentials ,3261,25,0,0,0
android, android-EmojiCompat ,3261,5,0,0,0
android, android-instant-apps ,3261,36,7,"0,002146580803435","0,194444444444444"
android, android-nearby ,3261,39,3,"0,000919963201472","0,076923076923077"
android, android-AppUsageStatistics ,3261,21,0,0,0
android, android-custom-lint-rules ,3261,16,1,"0,000306654400491","0,0625"
android, android-play-billing ,3261,69,8,"0,002453235203925","0,115942028985507"
android, android-vision ,3261,76,0,0,0
android, android-ads ,3261,38,1,"0,000306654400491","0,026315789473684"
android, android-SpeedTracker ,3261,32,1,"0,000306654400491","0,03125"
android, android-BluetoothLeGatt ,3261,25,0,0,0
android, android-Camera2Raw ,3261,17,0,0,0
android, android-WifiRttScan ,3261,1,0,0,0
android, android-ActionBarCompat-ShareActionProvider ,3261,19,0,0,0
android, android-testdpc ,3261,844,53,"0,016252683226004","0,062796208530806"
android, android-PictureInPicture ,3261,6,0,0,0
android, android-ActivitySceneTransitionBasic ,3261,25,0,0,0
android, android-Camera2Video ,3261,29,2,"0,000613308800981","0,068965517241379"
android, android-Notifications ,3261,12,0,0,0
android, android-BasicAccessibility ,3261,25,0,0,0
android, android-XYZTouristAttractions ,3261,24,0,0,0
android, android-WearVerifyRemoteApp ,3261,13,0,0,0
android, android-WearSpeakerSample ,3261,15,0,0,0
android, android-WearHighBandwidthNetworking ,3261,9,0,0,0
android, android-WearDrawers ,3261,12,0,0,0
android, android-WearComplicationProvidersTestSuite ,3261,7,0,0,0
android, android-WearAccessibilityApp ,3261,5,0,0,0
android, android-WatchFace ,3261,31,0,0,0
android, android-RuntimePermissionsWear ,3261,21,1,"0,000306654400491","0,047619047619048"
android, android-JumpingJack ,3261,30,0,0,0
android, android-DataLayer ,3261,33,0,0,0
android, android-AlwaysOn ,3261,22,0,0,0
android, android-MediaEffects ,3261,24,0,0,0
android, android-DirectBoot ,3261,15,2,"0,000613308800981","0,133333333333333"
android, leanback-showcase ,3261,44,7,"0,002146580803435","0,159090909090909"
android, android-MessagingService ,3261,29,0,0,0
android, androidtv-sample-inputs ,3261,215,10,"0,003066544004906","0,046511627906977"
android, leanback-homescreen-channels ,3261,11,0,0,0
