path,1.0.0.RELEASE,1.0.1.RELEASE,1.0.2.RELEASE,1.1.0.RELEASE,1.1.1.RELEASE,1.1.10.RELEASE,1.1.2.RELEASE,1.1.3.RELEASE,1.1.4.RELEASE,1.1.5.RELEASE,1.1.6.RELEASE,1.1.7.RELEASE,1.1.8.RELEASE,1.1.9.RELEASE,1.2.1.RELEASE,1.2.2.RELEASE,1.2.3.RELEASE,1.2.4.RELEASE,1.2.5.RELEASE,1.2.6.RELEASE,1.2.7.RELEASE,1.2.8.RELEASE,1.3.0.RELEASE,1.3.1.RELEASE,1.3.2.RELEASE,1.3.3.RELEASE,1.3.4.RELEASE,1.3.5.RELEASE,1.3.6.RELEASE,1.3.7.RELEASE,1.4.0.RELEASE,1.4.1.RELEASE,1.4.2.RELEASE,1.4.3.RELEASE,1.4.4.RELEASE,1.5.0.RELEASE,1.5.1.RELEASE,1.5.10.RELEASE,1.5.2.RELEASE,1.5.3.RELEASE,1.5.4.RELEASE,1.5.5.RELEASE,1.5.6.RELEASE,1.5.7.RELEASE,1.5.8.RELEASE,1.5.9.RELEASE,2.0.0.RELEASE,2.0.1.RELEASE,2.0.2.RELEASE,2.0.3.RELEASE,2.0.4.RELEASE,2.0.5.RELEASE,,type,version,delay
gs-scheduling-tasks/initial/pom.xml,0,0,0,0,0,0,0,0,0,1,1,3,0,0,41,1,0,5,0,4,0,,0,0,1,0,0,0,1,0,1,2,0,1,0,0,0,1,0,0,,0,0,1,0,2,0,0,0,4,,5,,General,1.0.0.RELEASE,0
gs-scheduling-tasks/complete/pom.xml,0,0,0,0,0,0,0,0,0,1,1,3,0,0,41,1,0,5,0,4,0,,0,0,1,0,0,0,1,0,1,2,0,1,0,0,0,1,0,0,,0,0,1,0,2,0,0,0,4,,5,,General,1.0.1.RELEASE,0
gs-relational-data-access/initial/pom.xml,0,0,0,0,0,0,0,0,0,1,1,3,0,0,41,1,0,5,0,4,0,,0,0,1,0,0,0,1,0,1,2,0,1,0,0,0,1,0,0,,0,0,1,0,2,0,0,0,4,,5,,General,1.0.2.RELEASE,0
gs-relational-data-access/complete/pom.xml,0,0,0,0,0,0,0,0,0,1,1,3,0,0,41,1,0,5,0,4,0,,0,0,1,0,0,0,1,0,1,2,0,1,0,0,0,1,0,0,,0,0,1,0,2,0,0,0,4,,5,,General,1.1.0.RELEASE,0
gs-consuming-rest/initial/pom.xml,0,0,0,0,0,0,0,0,0,1,1,3,0,0,41,1,0,5,0,4,0,,0,0,1,0,0,0,1,0,1,2,0,1,0,0,0,1,0,0,,0,0,1,0,2,0,0,0,4,,5,,General,1.1.1.RELEASE,0
gs-consuming-rest/complete/pom.xml,0,0,0,0,0,0,0,0,0,1,1,3,0,0,41,1,0,5,0,4,0,,0,0,1,0,0,0,1,0,1,2,0,1,0,0,0,1,0,0,,0,0,1,0,2,0,0,0,4,,5,,General,1.1.2.RELEASE,0
gs-spring-boot-for-azure/initial/pom.xml,0,0,0,0,0,0,0,0,0,1,1,3,0,0,41,1,0,5,0,4,0,,0,0,1,0,0,0,1,0,1,2,0,1,0,0,0,1,0,0,,0,0,1,0,2,0,0,0,4,,5,,General,1.1.3.RELEASE,0
gs-spring-boot-for-azure/complete/pom.xml,0,0,0,0,0,0,0,0,0,1,1,3,0,0,41,1,0,5,0,4,0,,0,0,1,0,0,0,1,0,1,2,0,1,0,0,0,1,0,0,,0,0,1,0,2,0,0,0,4,,5,,General,1.1.4.RELEASE,0
gs-securing-web/initial/pom.xml,0,0,0,0,0,0,0,0,0,1,1,3,0,0,41,1,0,5,0,4,0,,0,0,1,0,0,0,1,0,1,2,0,1,0,0,0,1,0,0,,0,0,1,0,2,4,0,0,4,,5,,General,1.1.5.RELEASE,1
gs-securing-web/complete/pom.xml,0,0,0,0,0,0,0,0,0,1,1,3,0,0,41,1,0,5,0,4,0,,0,0,1,0,0,0,1,0,1,2,0,1,0,0,0,1,0,0,,0,0,1,0,2,4,0,0,4,,5,,General,1.1.6.RELEASE,1
gs-spring-boot/initial/pom.xml,0,0,0,0,0,0,0,0,0,1,1,3,0,0,41,1,0,5,0,4,0,,0,0,1,0,0,0,1,0,1,2,0,1,0,0,0,1,0,0,,0,0,1,0,2,0,0,0,4,,5,,General,1.1.7.RELEASE,3
gs-spring-boot/complete/pom.xml,0,0,0,0,0,0,0,0,0,1,1,3,0,0,41,1,0,5,0,4,0,,0,0,1,0,0,0,1,0,1,2,0,1,0,0,0,1,0,0,,0,0,1,0,2,0,0,0,4,,5,,General,1.1.8.RELEASE,0
