framework,repository,stargazers,commits,files
android,android-testdpc,255,912,251
android,google-services,2405,631,272
android,androidtv-Leanback,1024,271,988
android,android-testing,6288,232,476
android,androidtv-sample-inputs,302,216,116
android,easypermissions,7273,175,60
android,android-play-location,1670,84,211
android,android-play-billing,982,78,338
android,android-vision,2562,76,169
android,android-fit,351,56,151
android,android-instant-apps,839,50,513
android,android-nearby,454,46,126
android,leanback-showcase,493,44,362
android,android-ads,190,41,305
android,android-MediaRecorder,267,39,34
android,android-unsplash,441,34,49
android,android-DataLayer,56,34,62
android,android-SpeedTracker,133,33,72
android,android-WatchFace,299,32,136
android,android-JumpingJack,39,31,43
android,android-Camera2Basic,2177,30,79
android,android-Camera2Video,994,29,81
android,android-MessagingService,214,29,44
android,identity-toolkit-android,46,29,102
android,android-testing-templates,1805,28,93
android,android-AutofillFramework,398,28,12432
android,android-SynchronizedNotifications,97,28,58
android,android-Geofencing,89,28,45
android,android-FindMyPhone,47,28,40
android,android-Quiz,47,28,83
android,android-DelayedConfirmation,8,28,43
android,android-Timer,75,27,31
android,android-GridViewPager,56,27,42
android,android-SkeletonWearableApp,50,27,25
android,android-WatchViewStub,47,27,25
android,android-ElizaChat,31,27,40
android,android-Flashlight,29,27,24
android,android-RecipeAssistant,28,27,71
android,android-JobScheduler,702,26,77
android,android-MediaBrowserService,376,26,61
android,android-NavigationDrawer,274,26,117
android,android-CardView,260,26,57
android,android-BasicSyncAdapter,225,26,53
android,android-SlidingTabsBasic,204,26,44
android,android-credentials,179,26,98
android,android-StorageProvider,84,26,54
android,android-BasicContactables,45,26,47
android,android-AppRestrictionSchema,38,26,45
android,android-FingerprintDialog,1283,25,96
android,android-BluetoothChat,854,25,54
android,android-BluetoothLeGatt,764,25,38
android,android-RecyclerView,623,25,88
android,android-PdfRendererBasic,497,25,67
android,android-play-places,486,25,191
android,android-XYZTouristAttractions,374,25,113
android,android-ActivitySceneTransitionBasic,357,25,49
android,android-DisplayingBitmaps,271,25,64
android,android-FloatingActionButtonBasic,192,25,54
android,android-BasicAndroidKeyStore,148,25,48
android,android-NetworkConnect,138,25,36
android,android-BatchStepSensor,123,25,93
android,android-BasicAccessibility,117,25,48
android,android-BasicMediaDecoder,110,25,42
android,android-BasicManagedProfile,108,25,46
android,android-ElevationDrag,98,25,46
android,android-ClippingBasic,89,25,46
android,android-HorizontalPaging,70,25,36
android,android-ElevationBasic,60,25,47
android,android-ActionBarCompat-ListPopupMenu,58,25,40
