project,stars,commits
getting-started-guides ,183,98
gs-accessing-data-gemfire ,8,198
gs-accessing-data-jpa ,107,193
gs-accessing-data-mongodb ,63,186
gs-accessing-data-mysql ,47,116
gs-accessing-data-neo4j ,15,206
gs-accessing-data-rest ,84,102
gs-accessing-gemfire-data-rest ,3,105
gs-accessing-mongodb-data-rest ,38,97
gs-accessing-neo4j-data-rest ,7,115
gs-accessing-vault ,2,107
gs-actuator-service ,40,202
gs-async-method ,45,163
gs-authenticating-ldap ,39,203
gs-batch-processing ,83,201
gs-caching ,30,101
gs-caching-gemfire ,4,181
gs-centralized-configuration ,27,209
gs-circuit-breaker ,22,115
gs-client-side-load-balancing ,24,117
gs-consuming-rest ,68,202
gs-consuming-web-service ,59,113
gs-contract-rest ,1,119
gs-crud-with-vaadin ,45,83
gs-gateway ,14,114
gs-gradle ,80,137
gs-handling-form-submission ,19,151
gs-integration ,5,179
gs-managing-transactions ,16,163
gs-maven ,89,137
gs-messaging-gcp-pubsub ,3,116
gs-messaging-jms ,44,193
gs-messaging-rabbitmq ,90,186
gs-messaging-redis ,48,190
gs-messaging-stomp-websocket ,226,132
gs-multi-module ,93,38
gs-producing-web-service ,59,120
gs-reactive-rest-service ,26,122
gs-relational-data-access ,39,192
gs-rest-hateoas ,43,192
gs-rest-service ,765,333
gs-rest-service-cors ,53,125
gs-scheduling-tasks ,62,213
gs-securing-web ,130,227
gs-service-registration-and-discovery ,59,203
gs-serving-web-content ,150,170
gs-spring-boot ,409,179
gs-spring-boot-docker ,354,125
gs-spring-boot-for-azure ,0,104
gs-testing-restdocs ,4,25
gs-testing-web ,32,48
gs-uploading-files ,214,210
gs-validating-form-input ,55,195
gs-vault-config ,3,107
quoters ,5,9
tut-rest ,235,67
tut-spring-boot-oauth2 ,531,84
