project,stars,commits
account-transfer-api ,13,2
android-AccelerometerPlay ,93,1
android-ActionBarCompat-Basic ,50,25
android-ActionBarCompat-ListPopupMenu ,58,25
android-ActionBarCompat-ShareActionProvider ,112,19
android-ActionBarCompat-Styled ,48,24
android-ActiveNotifications ,217,17
android-ActivityInstrumentation ,47,24
android-ActivitySceneTransitionBasic ,357,25
android-ads ,190,41
android-AdvancedImmersiveMode ,62,24
android-AlwaysOn ,28,23
android-AppRestrictionEnforcer ,31,25
android-AppRestrictions ,17,25
android-AppRestrictionSchema ,38,26
android-AppShortcuts ,196,7
android-AppUsageStatistics ,246,21
android-AsymmetricFingerprintDialog ,219,20
android-AutoBackupForApps ,65,14
android-AutofillFramework ,398,28
android-BasicAccessibility ,117,25
android-BasicAndroidKeyStore ,148,25
android-BasicContactables ,45,26
android-BasicGestureDetect ,54,24
android-BasicImmersiveMode ,24,24
android-BasicManagedProfile ,108,25
android-BasicMediaDecoder ,110,25
android-BasicMediaRouter ,36,24
android-BasicMultitouch ,31,24
android-BasicNetworking ,97,24
android-BasicNotifications ,89,24
android-BasicRenderScript ,64,23
android-BasicSyncAdapter ,225,26
android-BasicTransition ,93,24
android-BatchStepSensor ,123,25
android-BeamLargeFiles ,61,18
android-BluetoothAdvertisements ,217,17
android-BluetoothChat ,854,25
android-BluetoothLeGatt ,764,25
android-BorderlessButtons ,45,24
android-Camera2Basic ,2177,30
android-Camera2Raw ,329,17
android-Camera2Video ,994,29
android-CardEmulation ,121,24
android-CardReader ,85,24
android-CardView ,260,26
android-ClippingBasic ,89,25
android-codelab-watchface ,63,1
android-CommitContentSampleApp ,24,7
android-CommitContentSampleIME ,52,7
android-ConfirmCredential ,219,16
android-ContentProviderPaging ,25,5
android-credentials ,179,26
android-custom-lint-rules ,390,22
android-CustomChoiceList ,48,24
android-CustomNotifications ,112,24
android-CustomTransition ,99,24
android-DataLayer ,56,34
android-DelayedConfirmation ,8,28
android-DeviceOwner ,117,18
android-DirectBoot ,163,15
android-DirectorySelection ,90,22
android-DirectShare ,99,12
android-DisplayingBitmaps ,271,25
android-DocumentCentricApps ,53,24
android-DocumentCentricRelinquishIdentity ,10,23
android-DoneBar ,56,25
android-DownloadableFonts ,296,5
android-DragAndDropAcrossApps ,37,4
android-DrawableTinting ,47,24
android-ElevationBasic ,60,25
android-ElevationDrag ,98,25
android-ElizaChat ,31,27
android-EmojiCompat ,651,5
android-fido ,53,14
android-FindMyPhone ,47,28
android-FingerprintDialog ,1283,25
android-fit ,351,56
android-Flashlight ,29,27
android-FloatingActionButtonBasic ,192,25
android-gcmnetworkmanager ,45,7
android-Geofencing ,89,28
android-google-accounts ,57,11
android-GridViewPager ,56,27
android-HdrViewfinder ,110,24
android-HorizontalPaging ,70,25
android-ImmersiveMode ,59,24
android-instant-apps ,839,50
android-Interpolator ,89,23
android-JobScheduler ,702,26
android-JumpingJack ,39,31
android-key-attestation ,23,3
android-LNotifications ,55,25
android-MediaBrowserService ,376,26
android-MediaEffects ,98,24
android-MediaRecorder ,267,39
android-MediaRouter ,41,24
android-MessagingService ,214,29
android-MidiScope ,28,12
android-MidiSynth ,70,12
android-MultiWindowPlayground ,415,9
android-NavigationDrawer ,274,26
android-nearby ,454,46
android-NetworkConnect ,138,25
android-NfcProvisioning ,122,19
android-NotificationChannels ,314,5
android-Notifications ,135,12
android-OurStreets ,354,7
android-PdfRendererBasic ,497,25
android-PermissionRequest ,68,21
android-PictureInPicture ,1359,6
android-play-awareness ,43,3
android-play-billing ,982,78
android-play-games-in-motion ,156,6
android-play-location ,1670,84
android-play-places ,486,25
android-play-publisher-api ,338,15
android-play-safetynet ,130,20
android-Quiz ,47,28
android-RecipeAssistant ,28,27
android-RecyclerView ,623,25
android-RenderScriptIntrinsic ,63,23
android-RepeatingAlarm ,111,24
android-RevealEffectBasic ,172,24
android-RuntimePermissions ,1243,16
android-RuntimePermissionsWear ,12,22
android-ScopedDirectoryAccess ,111,13
android-ScreenCapture ,879,24
android-ShareActionProvider ,14,5
android-SimpleMediaPlayer ,144,3
android-SkeletonWearableApp ,50,27
android-SlidingTabsBasic ,204,26
android-SlidingTabsColors ,150,24
android-SpeedTracker ,133,33
android-StorageClient ,58,24
android-StorageProvider ,84,26
android-SwipeRefreshLayoutBasic ,81,24
android-SwipeRefreshListFragment ,165,24
android-SwipeRefreshMultipleViews ,257,24
android-SynchronizedNotifications ,97,28
android-TensorFlowCloudMachineLearningEngineStylizer ,8,2
android-testdpc ,255,912
android-testing ,6288,232
android-testing-templates ,1805,28
android-TextLinkify ,167,24
android-TextSwitcher ,143,24
android-Timer ,75,27
android-unsplash ,441,34
android-vision ,2562,76
android-WatchFace ,299,32
android-WatchViewStub ,47,27
android-WclDemoSample ,13,2
android-WearAccessibilityApp ,3,6
android-WearCompanionLibrary ,46,11
android-WearComplicationProvidersTestSuite ,20,8
android-WearDrawers ,36,13
android-WearHighBandwidthNetworking ,16,10
android-WearOAuth ,8,3
android-WearSpeakerSample ,44,16
android-WearStandaloneGoogleSignIn ,16,3
android-WearVerifyRemoteApp ,37,14
android-WifiRttScan ,34,1
android-XYZTouristAttractions ,374,25
androidtv-daydream ,19,3
androidtv-GameController ,25,8
androidtv-Leanback ,1024,271
androidtv-sample-inputs ,302,216
androidtv-VisualGameController ,31,2
attendee-checkin ,30,2
chromeos-android-draganddrop-demo ,3,11
easypermissions ,7273,175
google-services ,2405,631
identity-toolkit-android ,46,29
leanback-assistant ,44,6
leanback-homescreen-channels ,18,11
leanback-showcase ,493,44
