nameProject,total,add,modify,delete,tipoDistinct,java,javaDistinct,properties,jar,jarDistinct,build.gradle,buildDistinct,pom.xml,pomDistinct,manifest.xml,manifestDistinct,xml,xmlDistinct,bat,batDistinct,md,adoc,read,yaml,yamlDistinct,txt,txtDistinct,sh,shDistinct,travisyml,yml,ymlDistinct,cmd,cmdDistinct,kt,ktDistinct,json,jsonDistinct,other
android-AutofillFramework,22758,14295,7222,1241,29,711,433,34,1310,884,44,6,0,0,39,8,1077,597,2,2,23,0,23,2,2,57,35,0,0,0,2,1,0,0,91,40,978,497,18427
android-play-location,702,317,306,79,12,114,36,49,13,9,130,28,0,0,27,12,169,80,15,12,40,0,40,2,2,0,0,0,0,0,0,0,0,0,6,5,0,0,164
google-services,2495,707,1363,425,37,143,44,86,46,11,376,22,0,0,30,9,192,82,26,10,88,0,88,7,3,0,0,10,5,14,2,1,0,0,0,0,45,31,1474
easypermissions,531,79,437,15,11,247,42,26,13,1,88,3,0,0,11,2,42,13,4,1,50,0,50,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,61
android-testing,1758,542,1183,33,22,188,92,119,78,51,603,55,0,0,103,34,309,186,18,17,96,0,96,2,2,1,1,5,4,0,2,1,0,0,7,7,0,0,330
android-Camera2Basic,181,88,87,6,11,17,7,13,2,2,27,5,0,0,6,5,44,37,2,2,24,0,24,6,4,2,1,0,0,0,0,0,0,0,9,9,0,0,35
android-credentials,149,108,41,0,11,30,17,9,4,3,18,6,0,0,4,3,37,30,4,3,8,0,8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,38
android-EmojiCompat,89,62,26,1,11,7,4,8,2,2,15,4,0,0,3,2,15,14,2,2,7,0,7,2,2,0,0,0,0,0,0,0,0,0,7,4,0,0,24
android-instant-apps,1076,601,431,44,15,49,46,55,13,13,342,86,0,0,78,47,249,198,13,13,49,0,49,11,11,0,0,7,2,0,0,0,0,0,21,15,18,12,249
android-nearby,336,197,85,54,11,51,30,16,7,5,29,12,0,0,8,5,94,62,6,5,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118
android-AppUsageStatistics,109,48,58,3,9,11,6,9,1,1,17,2,0,0,1,1,29,17,1,1,15,0,15,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23
android-custom-lint-rules,63,34,25,4,9,17,7,6,8,4,9,4,0,0,1,1,1,1,2,2,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
android-play-billing,474,355,115,4,21,53,35,19,4,4,46,13,0,0,19,8,80,59,4,4,16,0,16,3,2,0,0,0,0,0,0,0,0,0,47,41,18,14,184
android-vision,366,221,140,5,12,119,53,30,9,8,57,22,0,0,16,10,76,50,9,8,4,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,61
android-ads,1146,475,532,139,14,164,82,93,12,11,239,36,0,0,54,21,242,160,16,14,55,0,55,20,15,0,0,0,0,0,0,0,0,0,0,0,15,9,290
android-SpeedTracker,264,93,153,18,10,43,20,10,1,1,76,4,0,0,12,3,54,24,1,1,20,0,20,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,56
android-BluetoothLeGatt,107,44,59,4,9,4,4,10,1,1,19,3,0,0,1,1,28,21,1,1,20,0,20,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20
android-Camera2Raw,93,44,48,1,9,9,4,9,1,1,16,2,0,0,2,2,24,15,1,1,14,0,14,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17
android-WifiRttScan,59,59,0,0,10,4,4,2,1,1,2,2,0,0,1,1,24,24,1,1,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22
android-ActionBarCompat-ShareActionProvider,98,47,47,4,10,6,6,7,1,1,14,3,0,0,2,2,28,21,1,1,15,0,15,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22
android-testdpc,2232,645,1494,93,15,1122,217,8,6,1,164,2,0,0,49,2,761,101,6,1,19,0,19,0,0,3,3,1,1,0,0,0,0,0,0,0,0,0,142
android-PictureInPicture,160,95,64,1,13,12,5,9,2,2,18,4,0,0,4,2,54,38,2,2,11,0,11,6,2,0,0,0,0,0,0,0,0,0,12,5,0,0,34
android-ActivitySceneTransitionBasic,131,57,68,6,9,18,12,10,3,2,20,2,0,0,2,2,36,19,1,1,18,0,18,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,21
android-Camera2Video,167,89,73,5,11,8,4,13,2,2,26,5,0,0,3,3,39,33,2,2,22,0,22,6,4,2,1,0,0,0,0,0,0,0,7,7,0,0,40
android-Notifications,275,153,94,28,9,61,26,5,1,1,28,4,0,0,7,3,53,34,1,1,11,0,11,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,112
android-BasicAccessibility,121,54,63,4,9,10,10,10,1,1,19,3,0,0,2,2,27,20,1,1,19,0,19,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,30
android-XYZTouristAttractions,308,136,151,21,10,36,18,8,1,1,64,4,0,0,10,3,78,45,1,1,15,0,15,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,101
android-WearVerifyRemoteApp,86,49,37,0,9,8,2,5,1,1,23,3,0,0,3,2,22,20,1,1,7,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18
android-WearSpeakerSample,76,38,38,0,11,6,3,9,1,1,19,2,0,0,2,1,14,12,1,1,10,0,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15
android-WearHighBandwidthNetworking,54,34,20,0,9,2,1,3,1,1,10,2,0,0,2,1,16,14,1,1,6,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14
android-WearDrawers,83,48,35,0,9,8,2,4,1,1,13,2,0,0,3,1,11,5,1,1,8,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36
android-WearComplicationProvidersTestSuite,54,41,13,0,9,8,8,2,1,1,8,2,0,0,1,1,14,13,1,1,5,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14
android-WearAccessibilityApp,167,144,22,1,9,51,33,1,1,1,5,2,0,0,1,1,88,88,1,1,3,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16
android-WatchFace,383,178,165,40,9,71,31,10,1,1,52,3,0,0,18,2,102,48,1,1,22,0,22,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,121
android-RuntimePermissionsWear,201,114,74,13,12,17,12,9,1,1,48,7,0,0,6,5,36,33,1,1,11,0,11,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,74
