project, imports, javaFiles, imports/javaFiles
android-AutofillFramework, 152, 348, 0.44
android-play-location, 47, 22, 2.14
google-services, 55, 19, 2.89
easypermissions, 25, 28, 0.89
android-testing, 46, 58, 0.79
android-Camera2Basic, 45, 4, 11.25
android-credentials, 53, 17, 3.12
android-EmojiCompat, 18, 3, 6.00
android-instant-apps, 71, 38, 1.87
android-nearby, 60, 15, 4.00
android-AppUsageStatistics, 24, 6, 4.00
android-custom-lint-rules, 0, 7, 0.00
android-play-billing, 49, 35, 1.40
android-vision, 54, 48, 1.12
android-ads, 48, 26, 1.85
android-SpeedTracker, 40, 12, 3.33
android-BluetoothLeGatt, 35, 4, 8.75
android-Camera2Raw, 53, 4, 13.25
android-WifiRttScan, 23, 4, 5.75
android-ActionBarCompat-ShareActionProvider, 23, 4, 5.75
android-testdpc, 196, 126, 1.56
android-PictureInPicture, 44, 5, 8.80
android-ActivitySceneTransitionBasic, 29, 11, 2.64
android-Camera2Video, 39, 3, 13.00
android-Notifications, 25, 23, 1.09
android-BasicAccessibility, 23, 9, 2.56
android-XYZTouristAttractions, 74, 18, 4.11
android-WearVerifyRemoteApp, 15, 2, 7.50
android-WearSpeakerSample, 34, 3, 11.33
android-WearHighBandwidthNetworking, 15, 1, 15.00
android-WearDrawers, 19, 2, 9.50
android-WearComplicationProvidersTestSuite, 13, 8, 1.62
android-WearAccessibilityApp, 59, 32, 1.84
android-WatchFace, 73, 17, 4.29
android-RuntimePermissionsWear, 19, 8, 2.38
android-JumpingJack, 32, 12, 2.67
android-DataLayer, 33, 8, 4.12
android-AlwaysOn, 15, 1, 15.00
android-MediaEffects, 31, 11, 2.82
android-DirectBoot, 37, 9, 4.11
leanback-showcase, 298, 154, 1.94
android-MessagingService, 32, 7, 4.57
androidtv-sample-inputs, 106, 59, 1.80
leanback-homescreen-channels, 76, 22, 3.45
android-play-publisher-api, 0, 12, 0.00
androidtv-Leanback, 65, 38, 1.71
android-BluetoothChat, 41, 12, 3.42
android-MediaRecorder, 22, 3, 7.33
android-fit, 21, 31, 0.68
android-DisplayingBitmaps, 64, 21, 3.05
android-testing-templates, 22, 13, 1.69
android-ActivityInstrumentation, 21, 8, 2.62
chromeos-android-draganddrop-demo, 17, 3, 5.67
android-BasicRenderScript, 11, 2, 5.50
android-TensorFlowCloudMachineLearningEngineStylizer, 49, 7, 7.00
android-CustomChoiceList, 20, 9, 2.22
android-WatchViewStub, 11, 1, 11.00
android-Timer, 22, 6, 3.67
android-TextSwitcher, 20, 7, 2.86
android-TextLinkify, 22, 8, 2.75
android-SynchronizedNotifications, 28, 13, 2.15
android-SwipeRefreshMultipleViews, 40, 14, 2.86
android-SwipeRefreshListFragment, 41, 14, 2.93
android-SwipeRefreshLayoutBasic, 38, 13, 2.92
android-StorageProvider, 34, 10, 3.40
android-StorageClient, 34, 10, 3.40
android-SlidingTabsColors, 34, 13, 2.62
android-SlidingTabsBasic, 32, 12, 2.67
android-SkeletonWearableApp, 30, 2, 15.00
android-ShareActionProvider, 24, 4, 6.00
android-ScreenCapture, 32, 10, 3.20
android-ScopedDirectoryAccess, 26, 4, 6.50
android-RuntimePermissions, 34, 6, 5.67
android-RevealEffectBasic, 25, 10, 2.50
android-RepeatingAlarm, 24, 9, 2.67
android-RenderScriptIntrinsic, 32, 3, 10.67
android-RecyclerView, 24, 10, 2.40
android-RecipeAssistant, 37, 14, 2.64
android-Quiz, 20, 8, 2.50
android-PermissionRequest, 42, 13, 3.23
android-PdfRendererBasic, 20, 3, 6.67
android-NotificationChannels, 15, 2, 7.50
android-NfcProvisioning, 39, 13, 3.00
android-NetworkConnect, 15, 4, 3.75
android-NavigationDrawer, 35, 10, 3.50
android-MultiWindowPlayground, 23, 14, 1.64
android-MidiSynth, 32, 25, 1.28
android-MidiScope, 32, 28, 1.14
android-MediaRouter, 86, 17, 5.06
android-MediaBrowserService, 48, 9, 5.33
android-LNotifications, 32, 4, 8.00
android-JobScheduler, 34, 9, 3.78
android-Interpolator, 31, 10, 3.10
android-ImmersiveMode, 23, 11, 2.09
android-HorizontalPaging, 13, 2, 6.50
android-HdrViewfinder, 47, 5, 9.40
android-GridViewPager, 23, 3, 7.67
android-Geofencing, 22, 8, 2.75
