framework,samples ,framework contributors ,sample contributors ,common contributors ,common/framework ,common/sample
android,android-AutofillFramework,160,1,0,"0,00%","0,00%"
android,android-play-location,160,12,0,"0,00%","0,00%"
android,google-services,160,38,2,"1,25%","5,26%"
android,easypermissions,160,20,0,"0,00%","0,00%"
android,android-testing,160,27,0,"0,00%","0,00%"
android,android-Camera2Basic,160,3,1,"0,63%","33,33%"
android,android-credentials,160,6,0,"0,00%","0,00%"
android,android-EmojiCompat,160,1,0,"0,00%","0,00%"
android,android-instant-apps,160,6,2,"1,25%","33,33%"
android,android-nearby,160,12,1,"0,63%","8,33%"
android,android-AppUsageStatistics,160,1,0,"0,00%","0,00%"
android,android-custom-lint-rules,160,8,1,"0,63%","12,50%"
android,android-play-billing,160,15,1,"0,63%","6,67%"
android,android-vision,160,15,0,"0,00%","0,00%"
android,android-ads,160,8,1,"0,63%","12,50%"
android,android-SpeedTracker,160,3,0,"0,00%","0,00%"
android,android-BluetoothLeGatt,160,2,0,"0,00%","0,00%"
android,android-Camera2Raw,160,1,0,"0,00%","0,00%"
android,android-WifiRttScan,160,1,0,"0,00%","0,00%"
android,android-ActionBarCompat-ShareActionProvider,160,1,0,"0,00%","0,00%"
android,android-testdpc,160,18,8,"5,00%","44,44%"
android,android-PictureInPicture,160,1,0,"0,00%","0,00%"
android,android-ActivitySceneTransitionBasic,160,1,0,"0,00%","0,00%"
android,android-Camera2Video,160,3,1,"0,63%","33,33%"
android,android-Notifications,160,2,0,"0,00%","0,00%"
android,android-BasicAccessibility,160,2,0,"0,00%","0,00%"
android,android-XYZTouristAttractions,160,1,0,"0,00%","0,00%"
android,android-WearVerifyRemoteApp,160,1,0,"0,00%","0,00%"
android,android-WearSpeakerSample,160,1,0,"0,00%","0,00%"
android,android-WearHighBandwidthNetworking,160,1,0,"0,00%","0,00%"
android,android-WearDrawers,160,1,0,"0,00%","0,00%"
android,android-WearComplicationProvidersTestSuite,160,1,0,"0,00%","0,00%"
android,android-WearAccessibilityApp,160,1,0,"0,00%","0,00%"
android,android-WatchFace,160,1,0,"0,00%","0,00%"
android,android-RuntimePermissionsWear,160,2,1,"0,63%","50,00%"
android,android-JumpingJack,160,1,0,"0,00%","0,00%"
android,android-DataLayer,160,1,0,"0,00%","0,00%"
android,android-AlwaysOn,160,1,0,"0,00%","0,00%"
android,android-MediaEffects,160,1,0,"0,00%","0,00%"
android,android-DirectBoot,160,2,0,"0,00%","0,00%"
android,leanback-showcase,160,10,2,"1,25%","20,00%"
android,android-MessagingService,160,3,0,"0,00%","0,00%"
android,androidtv-sample-inputs,160,7,0,"0,00%","0,00%"
android,leanback-homescreen-channels,160,2,0,"0,00%","0,00%"
android,android-play-publisher-api,160,6,0,"0,00%","0,00%"
android,androidtv-Leanback,160,20,1,"0,63%","5,00%"
android,android-BluetoothChat,160,1,0,"0,00%","0,00%"
android,android-MediaRecorder,160,6,0,"0,00%","0,00%"
android,android-fit,160,5,0,"0,00%","0,00%"
android,android-DisplayingBitmaps,160,1,0,"0,00%","0,00%"
android,android-testing-templates,160,5,0,"0,00%","0,00%"
android,android-ActivityInstrumentation,160,1,0,"0,00%","0,00%"
android,chromeos-android-draganddrop-demo,160,0,0,"0,00%",#DIV/0!
android,android-BasicRenderScript,160,1,0,"0,00%","0,00%"
android,android-TensorFlowCloudMachineLearningEngineStylizer,160,1,0,"0,00%","0,00%"
android,android-CustomChoiceList,160,1,0,"0,00%","0,00%"
android,android-WatchViewStub,160,1,0,"0,00%","0,00%"
android,android-Timer,160,1,0,"0,00%","0,00%"
android,android-TextSwitcher,160,1,0,"0,00%","0,00%"
android,android-TextLinkify,160,1,0,"0,00%","0,00%"
android,android-SynchronizedNotifications,160,1,0,"0,00%","0,00%"
android,android-SwipeRefreshMultipleViews,160,1,0,"0,00%","0,00%"
android,android-SwipeRefreshListFragment,160,1,0,"0,00%","0,00%"
android,android-SwipeRefreshLayoutBasic,160,1,0,"0,00%","0,00%"
android,android-StorageProvider,160,1,0,"0,00%","0,00%"
android,android-StorageClient,160,1,0,"0,00%","0,00%"
android,android-SlidingTabsColors,160,1,0,"0,00%","0,00%"
android,android-SlidingTabsBasic,160,3,1,"0,63%","33,33%"
android,android-SkeletonWearableApp,160,1,0,"0,00%","0,00%"
android,android-ShareActionProvider,160,1,0,"0,00%","0,00%"
android,android-ScreenCapture,160,3,0,"0,00%","0,00%"
android,android-ScopedDirectoryAccess,160,2,0,"0,00%","0,00%"
android,android-RuntimePermissions,160,1,0,"0,00%","0,00%"
android,android-RevealEffectBasic,160,1,0,"0,00%","0,00%"
android,android-RepeatingAlarm,160,1,0,"0,00%","0,00%"
android,android-RenderScriptIntrinsic,160,1,0,"0,00%","0,00%"
android,android-RecyclerView,160,1,0,"0,00%","0,00%"
android,android-RecipeAssistant,160,1,0,"0,00%","0,00%"
android,android-Quiz,160,1,0,"0,00%","0,00%"
android,android-PermissionRequest,160,1,0,"0,00%","0,00%"
android,android-PdfRendererBasic,160,1,0,"0,00%","0,00%"
android,android-NotificationChannels,160,1,0,"0,00%","0,00%"
android,android-NfcProvisioning,160,1,0,"0,00%","0,00%"
android,android-NetworkConnect,160,1,0,"0,00%","0,00%"
android,android-NavigationDrawer,160,2,1,"0,63%","50,00%"
android,android-MultiWindowPlayground,160,1,0,"0,00%","0,00%"
android,android-MidiSynth,160,1,0,"0,00%","0,00%"
android,android-MidiScope,160,1,0,"0,00%","0,00%"
android,android-MediaRouter,160,1,0,"0,00%","0,00%"
android,android-MediaBrowserService,160,1,0,"0,00%","0,00%"
android,android-LNotifications,160,1,0,"0,00%","0,00%"
android,android-JobScheduler,160,2,1,"0,63%","50,00%"
android,android-Interpolator,160,1,0,"0,00%","0,00%"
android,android-ImmersiveMode,160,1,0,"0,00%","0,00%"
android,android-HorizontalPaging,160,1,0,"0,00%","0,00%"
android,android-HdrViewfinder,160,1,0,"0,00%","0,00%"
android,android-GridViewPager,160,1,0,"0,00%","0,00%"
android,android-Geofencing,160,1,0,"0,00%","0,00%"
android,android-FloatingActionButtonBasic,160,1,0,"0,00%","0,00%"
android,android-Flashlight,160,1,0,"0,00%","0,00%"
android,android-FingerprintDialog,160,3,0,"0,00%","0,00%"
android,android-FindMyPhone,160,1,0,"0,00%","0,00%"
android,android-ElizaChat,160,1,0,"0,00%","0,00%"
android,android-ElevationDrag,160,2,1,"0,63%","50,00%"
android,android-ElevationBasic,160,2,1,"0,63%","50,00%"
android,android-DrawableTinting,160,1,0,"0,00%","0,00%"
android,android-DragAndDropAcrossApps,160,1,0,"0,00%","0,00%"
android,android-DownloadableFonts,160,2,0,"0,00%","0,00%"
android,android-DoneBar,160,1,0,"0,00%","0,00%"
android,android-DocumentCentricRelinquishIdentity,160,1,0,"0,00%","0,00%"
android,android-DocumentCentricApps,160,1,0,"0,00%","0,00%"
android,android-DirectShare,160,1,0,"0,00%","0,00%"
android,android-DirectorySelection,160,1,0,"0,00%","0,00%"
android,android-DeviceOwner,160,1,0,"0,00%","0,00%"
android,android-DelayedConfirmation,160,1,0,"0,00%","0,00%"
android,android-CustomTransition,160,1,0,"0,00%","0,00%"
android,android-CustomNotifications,160,1,0,"0,00%","0,00%"
android,android-ContentProviderPaging,160,1,0,"0,00%","0,00%"
android,android-ConfirmCredential,160,2,0,"0,00%","0,00%"
android,android-CommitContentSampleIME,160,1,0,"0,00%","0,00%"
android,android-CommitContentSampleApp,160,1,0,"0,00%","0,00%"
android,android-ClippingBasic,160,2,1,"0,63%","50,00%"
android,android-CardView,160,1,0,"0,00%","0,00%"
android,android-CardReader,160,1,0,"0,00%","0,00%"
android,android-CardEmulation,160,1,0,"0,00%","0,00%"
android,android-BorderlessButtons,160,1,0,"0,00%","0,00%"
android,android-BluetoothAdvertisements,160,1,0,"0,00%","0,00%"
android,android-BeamLargeFiles,160,1,0,"0,00%","0,00%"
android,android-BatchStepSensor,160,1,0,"0,00%","0,00%"
android,android-BasicTransition,160,1,0,"0,00%","0,00%"
android,android-BasicSyncAdapter,160,3,1,"0,63%","33,33%"
android,android-BasicNotifications,160,1,0,"0,00%","0,00%"
android,android-BasicNetworking,160,1,0,"0,00%","0,00%"
android,android-BasicMultitouch,160,1,0,"0,00%","0,00%"
android,android-BasicMediaRouter,160,1,0,"0,00%","0,00%"
android,android-BasicMediaDecoder,160,2,0,"0,00%","0,00%"
android,android-BasicManagedProfile,160,2,1,"0,63%","50,00%"
android,android-BasicImmersiveMode,160,1,0,"0,00%","0,00%"
android,android-BasicGestureDetect,160,1,0,"0,00%","0,00%"
android,android-BasicContactables,160,1,0,"0,00%","0,00%"
android,android-BasicAndroidKeyStore,160,1,0,"0,00%","0,00%"
android,android-AutoBackupForApps,160,1,0,"0,00%","0,00%"
android,android-AsymmetricFingerprintDialog,160,2,0,"0,00%","0,00%"
android,android-AppShortcuts,160,1,0,"0,00%","0,00%"
android,android-AppRestrictionSchema,160,1,0,"0,00%","0,00%"
android,android-AppRestrictions,160,1,0,"0,00%","0,00%"
android,android-AppRestrictionEnforcer,160,1,0,"0,00%","0,00%"
android,android-AdvancedImmersiveMode,160,1,0,"0,00%","0,00%"
android,android-ActiveNotifications,160,1,0,"0,00%","0,00%"
android,android-ActionBarCompat-Styled,160,1,0,"0,00%","0,00%"
android,android-ActionBarCompat-ListPopupMenu,160,1,0,"0,00%","0,00%"
android,android-ActionBarCompat-Basic,160,1,0,"0,00%","0,00%"
android,android-key-attestation,160,1,0,"0,00%","0,00%"
android,android-play-places,160,4,0,"0,00%","0,00%"
android,android-AccelerometerPlay,160,1,0,"0,00%","0,00%"
android,android-play-awareness,160,1,0,"0,00%","0,00%"
android,leanback-assistant,160,1,0,"0,00%","0,00%"
android,android-play-safetynet,160,4,0,"0,00%","0,00%"
android,account-transfer-api,160,0,0,"0,00%",#DIV/0!
android,android-SimpleMediaPlayer,160,1,0,"0,00%","0,00%"
android,android-fido,160,5,0,"0,00%","0,00%"
android,android-WearStandaloneGoogleSignIn,160,0,0,"0,00%",#DIV/0!
android,android-WearOAuth,160,0,0,"0,00%",#DIV/0!
android,android-unsplash,160,4,0,"0,00%","0,00%"
android,android-codelab-watchface,160,1,0,"0,00%","0,00%"
android,android-OurStreets,160,1,0,"0,00%","0,00%"
android,android-WearCompanionLibrary,160,4,0,"0,00%","0,00%"
android,android-gcmnetworkmanager,160,2,0,"0,00%","0,00%"
android,identity-toolkit-android,160,5,0,"0,00%","0,00%"
android,android-WclDemoSample,160,2,0,"0,00%","0,00%"
android,attendee-checkin,160,1,0,"0,00%","0,00%"
android,android-play-games-in-motion,160,1,0,"0,00%","0,00%"
android,androidtv-daydream,160,2,0,"0,00%","0,00%"
android,androidtv-VisualGameController,160,2,1,"0,63%","50,00%"
android,androidtv-GameController,160,1,0,"0,00%","0,00%"
android,android-google-accounts,160,3,0,"0,00%","0,00%"
spring,tut-rest,387,10,4,"1,03%","40,00%"
spring,gs-vault-config,387,8,6,"1,55%","75,00%"
spring,gs-spring-boot,387,15,8,"2,07%","53,33%"
spring,gs-rest-service,387,15,7,"1,81%","46,67%"
spring,gs-spring-boot-docker,387,14,6,"1,55%","42,86%"
spring,gs-scheduling-tasks,387,10,8,"2,07%","80,00%"
spring,gs-maven,387,16,8,"2,07%","50,00%"
spring,gs-crud-with-vaadin,387,13,7,"1,81%","53,85%"
spring,gs-uploading-files,387,11,9,"2,33%","81,82%"
spring,gs-testing-web,387,6,4,"1,03%","66,67%"
spring,gs-serving-web-content,387,10,7,"1,81%","70,00%"
spring,gs-service-registration-and-discovery,387,14,10,"2,58%","71,43%"
spring,gs-securing-web,387,20,12,"3,10%","60,00%"
spring,gs-rest-service-cors,387,10,8,"2,07%","80,00%"
spring,gs-relational-data-access,387,11,9,"2,33%","81,82%"
spring,gs-producing-web-service,387,7,6,"1,55%","85,71%"
