ecosystem,nameProject,forks,forksAhead,razao
Spring,gs-rest-service,1262,175,"0,138668779714739"
Spring,tut-spring-boot-oauth2,404,28,"0,069306930693069"
Spring,gs-spring-boot,635,114,"0,179527559055118"
Spring,gs-spring-boot-docker,480,108,"0,225"
Spring,tut-rest,163,1,"0,006134969325153"
Spring,gs-messaging-stomp-websocket,240,30,"0,125"
Spring,gs-uploading-files,239,15,"0,062761506276151"
Spring,getting-started-guides,93,5,"0,053763440860215"
Spring,gs-serving-web-content,289,42,"0,145328719723183"
Spring,gs-securing-web,199,13,"0,065326633165829"
Spring,gs-accessing-data-jpa,162,17,"0,104938271604938"
Spring,gs-maven,281,55,"0,195729537366548"
Spring,gs-messaging-rabbitmq,105,9,"0,085714285714286"
Spring,gs-gradle,199,24,"0,120603015075377"
Spring,gs-accessing-data-rest,126,20,"0,158730158730159"
Spring,gs-multi-module,47,5,"0,106382978723404"
Spring,gs-batch-processing,165,12,"0,072727272727273"
Spring,gs-consuming-rest,149,15,"0,100671140939597"
Spring,gs-accessing-data-mongodb,89,9,"0,101123595505618"
Spring,gs-producing-web-service,105,16,"0,152380952380952"
Spring,gs-scheduling-tasks,92,12,"0,130434782608696"
Spring,gs-consuming-web-service,83,8,"0,096385542168675"
Spring,gs-service-registration-and-discovery,85,10,"0,117647058823529"
Spring,gs-validating-form-input,79,6,"0,075949367088608"
Spring,gs-rest-service-cors,71,8,"0,112676056338028"
Spring,gs-async-method,47,4,"0,085106382978723"
Spring,gs-crud-with-vaadin,76,9,"0,118421052631579"
Spring,gs-messaging-redis,51,3,"0,058823529411765"
Spring,gs-messaging-jms,87,10,"0,114942528735632"
Spring,gs-rest-hateoas,53,7,"0,132075471698113"
Spring,gs-authenticating-ldap,68,3,"0,044117647058824"
Spring,gs-relational-data-access,83,7,"0,08433734939759"
Spring,gs-accessing-mongodb-data-rest,64,10,"0,15625"
Spring,gs-accessing-data-mysql,88,16,"0,181818181818182"
Spring,gs-actuator-service,75,12,"0,16"
Spring,gs-testing-web,28,5,"0,178571428571429"
Spring,gs-caching,40,8,"0,2"
Spring,gs-centralized-configuration,55,9,"0,163636363636364"
Spring,gs-circuit-breaker,42,5,"0,119047619047619"
Spring,gs-client-side-load-balancing,23,5,"0,217391304347826"
Spring,gs-handling-form-submission,40,5,"0,125"
Spring,gs-reactive-rest-service,11,2,"0,181818181818182"
Spring,gs-managing-transactions,30,4,"0,133333333333333"
Spring,gs-accessing-data-neo4j,26,5,"0,192307692307692"
Spring,gs-accessing-neo4j-data-rest,20,6,"0,3"
Spring,gs-accessing-data-gemfire,13,3,"0,230769230769231"
Spring,gs-integration,26,1,"0,038461538461539"
Spring,quoters,2,0,0
Spring,gs-caching-gemfire,18,2,"0,111111111111111"
Spring,gs-accessing-gemfire-data-rest,7,0,0
Spring,gs-gateway,4,0,0
Spring,gs-testing-restdocs,10,1,"0,1"
Spring,gs-messaging-gcp-pubsub,9,2,"0,222222222222222"
Spring,gs-accessing-vault,3,0,0
Spring,gs-contract-rest,4,1,"0,25"
Spring,gs-spring-boot-for-azure,0,0,#DIV/0!
Spring,gs-vault-config,3,0,0
Android,easypermissions,1083,31,"0,028624192059095"
Android,android-testing,2194,61,"0,027803099361896"
Android,android-vision,1475,47,"0,031864406779661"
Android,google-services,2323,30,"0,012914334911752"
Android,android-Camera2Basic,1000,59,"0,059"
