android-AutofillFramework, 152
android-play-location, 47
google-services, 55
easypermissions, 25
android-testing, 46
android-Camera2Basic, 45
android-credentials, 53
android-EmojiCompat, 18
android-instant-apps, 71
android-nearby, 60
android-AppUsageStatistics, 24
android-custom-lint-rules, 0
android-play-billing, 49
android-vision, 54
android-ads, 48
android-SpeedTracker, 40
android-BluetoothLeGatt, 35
android-Camera2Raw, 53
android-WifiRttScan, 23
android-ActionBarCompat-ShareActionProvider, 23
android-testdpc, 196
android-PictureInPicture, 44
android-ActivitySceneTransitionBasic, 29
android-Camera2Video, 39
android-Notifications, 25
android-BasicAccessibility, 23
android-XYZTouristAttractions, 74
android-WearVerifyRemoteApp, 15
android-WearSpeakerSample, 34
android-WearHighBandwidthNetworking, 15
android-WearDrawers, 19
android-WearComplicationProvidersTestSuite, 13
android-WearAccessibilityApp, 59
android-WatchFace, 73
android-RuntimePermissionsWear, 19
android-JumpingJack, 32
android-DataLayer, 33
android-AlwaysOn, 15
android-MediaEffects, 31
android-DirectBoot, 37
leanback-showcase, 298
android-MessagingService, 32
androidtv-sample-inputs, 106
leanback-homescreen-channels, 76
android-play-publisher-api, 0
androidtv-Leanback, 65
android-BluetoothChat, 41
android-MediaRecorder, 22
android-fit, 21
android-DisplayingBitmaps, 64
android-testing-templates, 22
android-ActivityInstrumentation, 21
chromeos-android-draganddrop-demo, 17
android-BasicRenderScript, 11
android-TensorFlowCloudMachineLearningEngineStylizer, 49
android-CustomChoiceList, 20
android-WatchViewStub, 11
android-Timer, 22
android-TextSwitcher, 20
android-TextLinkify, 22
android-SynchronizedNotifications, 28
android-SwipeRefreshMultipleViews, 40
android-SwipeRefreshListFragment, 41
android-SwipeRefreshLayoutBasic, 38
android-StorageProvider, 34
android-StorageClient, 34
android-SlidingTabsColors, 34
android-SlidingTabsBasic, 32
android-SkeletonWearableApp, 30
android-ShareActionProvider, 24
android-ScreenCapture, 32
android-ScopedDirectoryAccess, 26
android-RuntimePermissions, 34
android-RevealEffectBasic, 25
android-RepeatingAlarm, 24
android-RenderScriptIntrinsic, 32
android-RecyclerView, 24
android-RecipeAssistant, 37
android-Quiz, 20
android-PermissionRequest, 42
android-PdfRendererBasic, 20
android-NotificationChannels, 15
android-NfcProvisioning, 39
android-NetworkConnect, 15
android-NavigationDrawer, 35
android-MultiWindowPlayground, 23
android-MidiSynth, 32
android-MidiScope, 32
android-MediaRouter, 86
android-MediaBrowserService, 48
android-LNotifications, 32
android-JobScheduler, 34
android-Interpolator, 31
android-ImmersiveMode, 23
android-HorizontalPaging, 13
android-HdrViewfinder, 47
android-GridViewPager, 23
android-Geofencing, 22
android-FloatingActionButtonBasic, 27
android-Flashlight, 17
android-FingerprintDialog, 33
android-FindMyPhone, 17
android-ElizaChat, 20
android-ElevationDrag, 28
android-ElevationBasic, 22
android-DrawableTinting, 29
android-DragAndDropAcrossApps, 37
android-DownloadableFonts, 23
android-DoneBar, 16
android-DocumentCentricRelinquishIdentity, 7
android-DocumentCentricApps, 16
android-DirectShare, 19
android-DirectorySelection, 23
android-DeviceOwner, 24
android-DelayedConfirmation, 9
android-CustomTransition, 35
android-CustomNotifications, 10
android-ContentProviderPaging, 32
android-ConfirmCredential, 13
android-CommitContentSampleIME, 22
android-CommitContentSampleApp, 16
android-ClippingBasic, 25
android-CardView, 10
android-CardReader, 24
android-CardEmulation, 25
android-BorderlessButtons, 23
android-BluetoothAdvertisements, 38
android-BeamLargeFiles, 29
android-BatchStepSensor, 48
android-BasicTransition, 35
android-BasicSyncAdapter, 56
android-BasicNotifications, 10
android-BasicNetworking, 22
android-BasicMultitouch, 22
android-BasicMediaRouter, 27
android-BasicMediaDecoder, 21
android-BasicManagedProfile, 25
android-BasicImmersiveMode, 22
android-BasicGestureDetect, 26
android-BasicContactables, 26
android-BasicAndroidKeyStore, 27
android-AutoBackupForApps, 22
android-AsymmetricFingerprintDialog, 31
android-AppShortcuts, 27
android-AppRestrictionSchema, 31
android-AppRestrictions, 19
android-AppRestrictionEnforcer, 35
android-AdvancedImmersiveMode, 24
android-ActiveNotifications, 29
android-ActionBarCompat-Styled, 6
android-ActionBarCompat-ListPopupMenu, 11
android-ActionBarCompat-Basic, 6
android-key-attestation, 0
android-play-places, 57
android-AccelerometerPlay, 22
android-play-awareness, 28
leanback-assistant, 58
android-play-safetynet, 24
account-transfer-api, 27
android-SimpleMediaPlayer, 12
android-fido, 40
android-WearStandaloneGoogleSignIn, 14
android-WearOAuth, 9
android-unsplash, 52
android-codelab-watchface, 20
android-OurStreets, 61
android-WearCompanionLibrary, 46
android-gcmnetworkmanager, 11
identity-toolkit-android, 14
android-WclDemoSample, 36
attendee-checkin, 131
android-play-games-in-motion, 41
androidtv-daydream, 26
androidtv-VisualGameController, 25
androidtv-GameController, 17
android-google-accounts, 17
