type,delay,0
Android,146,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,47,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,47,
Android,47,
Android,47,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,32,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,47,
Android,47,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,32,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,47,
Android,47,
Android,47,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,47,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,47,
Android,47,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,28,
Android,47,
Android,47,
Android,,
Android,,
Android,,
Android,11,
Android,,
Android,,
Android,,
Android,,
Android,47,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,47,
Android,47,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,47,
Android,47,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,47,
Android,,
Android,,
Android,47,
Android,47,
Android,47,
Android,,
Android,35,
Android,35,
Android,35,
Android,35,
Android,,
Android,47,
Android,50,
Android,,
Android,50,
Android,,
Android,50,
Android,,
Android,50,
Android,50,
Android,50,
Android,,
Android,50,
Android,50,
Android,50,
Android,50,
Android,,
Android,50,
Android,50,
Android,,
Android,50,
Android,50,
Android,,
Android,50,
Android,50,
Android,50,
Android,50,
Android,,
Android,50,
Android,50,
Android,,
Android,50,
Android,50,
Android,50,
Android,,
Android,,
Android,,
Android,,
Android,50,
Android,50,
Android,50,
Android,50,
Android,,
Android,,
Android,50,
Android,50,
Android,,
Android,50,
Android,50,
Android,,
Android,,
Android,,
Android,,
Android,50,
Android,50,
Android,50,
Android,50,
Android,50,
Android,,
Android,,
Android,86,
Android,,
Android,50,
Android,50,
Android,,
Android,50,
Android,,
Android,,
Android,,
Android,,
Android,50,
Android,,
Android,,
Android,50,
Android,,
Android,,
Android,50,
Android,50,
Android,50,
Android,50,
Android,50,
Android,,
Android,50,
Android,50,
Android,50,
Android,,
Android,50,
Android,,
Android,,
Android,,
Android,50,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,50,
Android,50,
Android,50,
Android,50,
Android,,
Android,,
Android,,
Android,50,
Android,50,
Android,50,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,50,
Android,,
Android,,
Android,,
Android,50,
Android,,
Android,,
Android,,
Android,,
Android,50,
Android,50,
Android,50,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,50,
Android,50,
Android,,
Android,50,
Android,50,
Android,50,
Android,,
Android,,
Android,14,
Android,50,
Android,50,
Android,50,
Android,50,
Android,50,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,50,
Android,50,
Android,50,
Android,50,
Android,50,
Android,50,
Android,50,
Android,50,
Android,50,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,50,
Android,50,
Android,50,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,50,
Android,50,
Android,,
Android,50,
Android,50,
Android,50,
Android,50,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,50,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,50,
Android,0,
Android,,
Android,0,
Android,0,
Android,0,
Android,,
Android,0,
Android,0,
Android,0,
Android,,
Android,0,
Android,0,
Android,0,
Android,0,
Android,,
Android,0,
Android,0,
Android,,
Android,0,
Android,0,
Android,,
Android,0,
Android,0,
Android,0,
Android,0,
Android,,
Android,0,
Android,0,
Android,,
Android,0,
Android,0,
Android,0,
Android,17,
Android,,
Android,17,
Android,15,
Android,0,
Android,0,
Android,0,
Android,0,
Android,,
Android,,
Android,0,
Android,0,
Android,,
Android,0,
Android,0,
Android,,
Android,,
Android,,
Android,,
Android,0,
Android,0,
Android,0,
Android,0,
Android,0,
Android,,
Android,,
Android,22,
Android,,
Android,0,
Android,0,
Android,,
Android,0,
Android,,
Android,,
Android,,
Android,,
Android,0,
Android,,
Android,,
Android,0,
Android,,
Android,,
Android,0,
Android,0,
Android,0,
Android,0,
Android,0,
Android,,
Android,0,
Android,0,
Android,0,
Android,,
Android,0,
Android,3,
Android,,
Android,,
Android,0,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,0,
Android,0,
Android,0,
Android,0,
Android,,
Android,,
Android,,
Android,0,
Android,0,
Android,0,
Android,0,
Android,,
Android,,
Android,,
Android,,
Android,0,
Android,,
Android,,
Android,3,
Android,0,
Android,,
Android,,
Android,,
Android,,
Android,0,
Android,0,
Android,0,
Android,,
Android,46,
Android,46,
Android,46,
Android,,
Android,,
Android,0,
Android,0,
Android,,
Android,0,
Android,0,
Android,0,
Android,,
Android,,
Android,51,
Android,0,
Android,0,
Android,0,
Android,0,
Android,0,
Android,43,
Android,,
Android,57,
Android,,
Android,,
Android,,
Android,43,
Android,57,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,29,
Android,29,
Android,29,
Android,,
Android,3,
Android,52,
Android,,
Android,,
Android,,
Android,15,
Android,15,
Android,15,
Android,15,
Android,,
Android,15,
Android,15,
Android,15,
Android,,
Android,,
Android,15,
Android,15,
Android,15,
Android,15,
Android,15,
Android,53,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,71,
Android,71,
Android,71,
Android,70,
Android,,
Android,0,
Android,52,
Android,,
Android,,
Android,80,
Android,80,
Android,,
Android,,
Android,119,
Android,58,
Android,,
Android,58,
Android,58,
Android,58,
Android,58,
Android,58,
Android,58,
Android,58,
Android,58,
Android,58,
Android,58,
Android,58,
Android,58,
Android,58,
Android,58,
Android,58,
Android,,
Android,58,
Android,58,
Android,58,
Android,58,
Android,58,
Android,58,
Android,58,
Android,58,
Android,58,
Android,58,
Android,,
Android,58,
Android,58,
Android,58,
Android,12,
Android,12,
Android,12,
Android,12,
Android,58,
Android,58,
Android,58,
Android,58,
Android,58,
Android,58,
Android,58,
Android,58,
Android,,
Android,58,
Android,58,
Android,83,
Android,,
Android,58,
Android,,
Android,58,
Android,58,
Android,58,
Android,58,
Android,58,
Android,,
Android,23,
Android,34,
Android,,
Android,58,
Android,58,
Android,58,
Android,58,
Android,,
Android,,
Android,58,
Android,,
Android,58,
Android,,
Android,,
Android,58,
Android,,
Android,58,
Android,58,
Android,58,
Android,58,
Android,58,
Android,58,
Android,,
Android,58,
Android,58,
Android,58,
Android,58,
Android,58,
Android,58,
Android,91,
Android,91,
Android,58,
Android,58,
Android,58,
Android,58,
Android,,
Android,,
Android,,
Android,,
Android,58,
Android,58,
Android,58,
Android,58,
Android,,
Android,58,
Android,,
Android,58,
Android,58,
Android,58,
Android,58,
Android,,
Android,,
Android,,
Android,58,
Android,58,
Android,,
Android,,
Android,58,
Android,58,
Android,,
Android,,
Android,,
Android,,
Android,58,
Android,58,
Android,58,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,58,
Android,58,
Android,58,
Android,,
Android,58,
Android,58,
Android,58,
Android,,
Android,58,
Android,5,
Android,58,
Android,58,
Android,58,
Android,58,
Android,58,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,,
Android,58,
Android,58,
Android,58,
Android,58,
Android,58,
Android,58,
Android,58,
Android,58,
Android,58,
Android,58,
Android,,
Android,,
Android,,
Android,,
Android,58,
Android,58,
Android,58,
Android,58,
Android,58,
Android,47,
Android,47,
Android,47,
Android,47,
Android,,
Android,47,
Android,47,
Android,47,
Android,,
Android,,
Android,47,
Android,47,
Android,47,
Android,47,
Android,47,
Android,6,
Android,58,
Android,58,
Android,58,
Android,58,
Android,58,
Android,58,
Android,58,
