path,groupId,artifactId,version
./repositorios/gs-crud-with-vaadin/complete/pom.xml,org.springframework.boot,spring-boot-starter-parent,2.0.5.RELEASE
./repositorios/gs-crud-with-vaadin/initial/pom.xml,org.springframework.boot,spring-boot-starter-parent,2.0.5.RELEASE
./repositorios/gs-consuming-web-service/complete/pom.xml,org.springframework.boot,spring-boot-starter-parent,2.0.5.RELEASE
./repositorios/gs-consuming-web-service/initial/pom.xml,org.springframework.boot,spring-boot-starter-parent,2.0.5.RELEASE
./repositorios/gs-managing-transactions/complete/pom.xml,org.springframework.boot,spring-boot-starter-parent,2.0.5.RELEASE
./repositorios/gs-managing-transactions/initial/pom.xml,org.springframework.boot,spring-boot-starter-parent,2.0.5.RELEASE
./repositorios/gs-messaging-redis/complete/pom.xml,org.springframework.boot,spring-boot-starter-parent,2.0.5.RELEASE
./repositorios/gs-messaging-redis/initial/pom.xml,org.springframework.boot,spring-boot-starter-parent,2.0.5.RELEASE
./repositorios/gs-securing-web/complete/pom.xml,org.springframework.boot,spring-boot-starter-parent,2.0.5.RELEASE
./repositorios/gs-securing-web/initial/pom.xml,org.springframework.boot,spring-boot-starter-parent,2.0.5.RELEASE
./repositorios/gs-rest-service-cors/complete/pom.xml,org.springframework.boot,spring-boot-starter-parent,2.0.5.RELEASE
./repositorios/gs-rest-service-cors/initial/pom.xml,org.springframework.boot,spring-boot-starter-parent,2.0.5.RELEASE
./repositorios/gs-service-registration-and-discovery/complete/pom.xml,,,
./repositorios/gs-service-registration-and-discovery/complete/eureka-client/pom.xml,org.springframework.boot,spring-boot-starter-parent,2.0.5.RELEASE
./repositorios/gs-service-registration-and-discovery/complete/eureka-service/pom.xml,org.springframework.boot,spring-boot-starter-parent,2.0.5.RELEASE
./repositorios/gs-service-registration-and-discovery/initial/pom.xml,,,
./repositorios/gs-service-registration-and-discovery/initial/eureka-client/pom.xml,org.springframework.boot,spring-boot-starter-parent,2.0.5.RELEASE
./repositorios/gs-service-registration-and-discovery/initial/eureka-service/pom.xml,org.springframework.boot,spring-boot-starter-parent,2.0.5.RELEASE
./repositorios/gs-accessing-data-mongodb/complete/pom.xml,org.springframework.boot,spring-boot-starter-parent,2.0.5.RELEASE
./repositorios/gs-accessing-data-mongodb/initial/pom.xml,org.springframework.boot,spring-boot-starter-parent,2.0.5.RELEASE
./repositorios/gs-accessing-mongodb-data-rest/complete/pom.xml,org.springframework.boot,spring-boot-starter-parent,2.0.5.RELEASE
./repositorios/gs-accessing-mongodb-data-rest/initial/pom.xml,org.springframework.boot,spring-boot-starter-parent,2.0.5.RELEASE
./repositorios/gs-spring-boot-docker/complete/pom.xml,org.springframework.boot,spring-boot-starter-parent,2.0.5.RELEASE
./repositorios/gs-spring-boot-docker/initial/pom.xml,org.springframework.boot,spring-boot-starter-parent,2.0.5.RELEASE
./repositorios/gs-accessing-data-mysql/complete/pom.xml,org.springframework.boot,spring-boot-starter-parent,2.0.5.RELEASE
./repositorios/gs-accessing-data-mysql/initial/pom.xml,org.springframework.boot,spring-boot-starter-parent,2.0.5.RELEASE
./repositorios/gs-circuit-breaker/complete/pom.xml,,,
./repositorios/gs-circuit-breaker/complete/reading/pom.xml,org.springframework.boot,spring-boot-starter-parent,2.0.5.RELEASE
./repositorios/gs-circuit-breaker/complete/bookstore/pom.xml,org.springframework.boot,spring-boot-starter-parent,2.0.5.RELEASE
./repositorios/gs-circuit-breaker/initial/pom.xml,,,
./repositorios/gs-circuit-breaker/initial/reading/pom.xml,org.springframework.boot,spring-boot-starter-parent,2.0.5.RELEASE
./repositorios/gs-circuit-breaker/initial/bookstore/pom.xml,org.springframework.boot,spring-boot-starter-parent,2.0.5.RELEASE
./repositorios/gs-vault-config/complete/pom.xml,org.springframework.boot,spring-boot-starter-parent,2.0.5.RELEASE
./repositorios/gs-vault-config/initial/pom.xml,org.springframework.boot,spring-boot-starter-parent,2.0.5.RELEASE
./repositorios/gs-serving-web-content/complete/pom.xml,org.springframework.boot,spring-boot-starter-parent,2.0.5.RELEASE
./repositorios/gs-serving-web-content/initial/pom.xml,org.springframework.boot,spring-boot-starter-parent,2.0.5.RELEASE
./repositorios/gs-multi-module/complete/pom.xml,,,
./repositorios/gs-multi-module/complete/library/pom.xml,org.springframework.boot,spring-boot-starter-parent,2.0.5.RELEASE
./repositorios/gs-multi-module/complete/application/pom.xml,org.springframework.boot,spring-boot-starter-parent,2.0.5.RELEASE
./repositorios/gs-multi-module/initial/pom.xml,,,
./repositorios/gs-multi-module/initial/library/pom.xml,org.springframework.boot,spring-boot-starter-parent,2.0.5.RELEASE
./repositorios/gs-multi-module/initial/application/pom.xml,org.springframework.boot,spring-boot-starter-parent,2.0.5.RELEASE
./repositorios/gs-messaging-rabbitmq/complete/pom.xml,org.springframework.boot,spring-boot-starter-parent,2.0.5.RELEASE
