sample,repository,forks,diskUsage_KB,stargazers,watchers,issues,commits,pullRequests,updatedAt,projects,status,ahead_by,behind_by
android,angelbirth/google-services,0,8299,0,1,0,535,0,2016-10-13T09:04:05Z,0,diverged,2,95
android,ankitshubham97/android-BluetoothLeGatt,0,309,0,1,0,23,0,2017-05-16T09:11:58Z,0,diverged,2,4
android,anlif/android-BluetoothLeGatt,2,318,0,1,0,29,1,2016-06-03T19:19:47Z,0,diverged,9,5
android,anlif/android-play-location,1,405,0,1,0,45,0,2016-06-03T11:28:46Z,0,diverged,1,27
android,AnthonyHaydon/android-play-location,0,422,0,1,0,29,0,2015-03-04T00:44:55Z,0,diverged,2,44
android,AnthonyNahas/android-play-publisher-api,0,20,0,1,0,10,0,2017-05-18T06:42:00Z,0,diverged,1,2
android,antontuzov/android-RuntimePermissions,0,27128,0,1,0,12,0,2018-06-14T09:47:56Z,0,diverged,1,5
android,AqrLei/android-Camera2,0,1524,0,1,0,60,0,2018-10-15T05:00:06Z,0,ahead,43,0
android,ardock/identity-toolkit-android,0,1748,0,1,0,24,0,2015-03-15T21:49:32Z,0,diverged,2,7
android,arekolek/android-FingerprintDialog,0,600,0,1,0,19,0,2017-05-15T08:30:18Z,0,diverged,1,7
android,aremokoremo/android-NotificationChannels,0,950,0,1,0,2,0,2017-03-22T13:54:51Z,0,diverged,1,4
android,arisen-phoenix/android-Flashlight,0,246,0,0,0,34,0,2018-06-29T14:29:49Z,0,ahead,7,0
android,arjungopisetty/android-testing-templates,0,167,0,1,0,29,0,2018-06-15T01:22:15Z,0,ahead,1,0
android,arober11/android-BluetoothLeGatt,2,623,1,1,0,14,0,2016-03-21T04:15:59Z,0,diverged,7,18
android,artBrown/android-XYZTouristAttractions,0,26400,0,1,0,19,0,2017-02-07T15:50:08Z,0,diverged,3,8
android,asajim/android-play-billing,0,3156,0,0,0,56,0,2018-07-27T08:16:00Z,0,diverged,1,10
android,Asalmerontkd/android-vision,0,874,0,1,0,67,0,2017-01-17T02:07:25Z,0,diverged,1,10
android,Ashok-Varma/android-unsplash,1,175,0,1,0,35,1,2016-05-28T05:01:20Z,0,ahead,1,0
android,ashoksurendran/android-play-location,0,680,0,1,0,72,0,2018-07-30T18:16:22Z,0,ahead,1,0
android,Aspsine/android-unsplash,1,132,0,1,0,29,1,2016-05-25T04:32:27Z,0,diverged,2,7
android,atlantis97/android-BluetoothChat,0,570,0,0,0,24,0,2017-07-18T03:43:24Z,0,diverged,1,2
android,Atul206/android-play-location,0,443,0,1,0,45,0,2016-09-04T13:30:28Z,0,diverged,1,27
android,audtjddld/android-play-billing,0,2663,0,1,0,28,0,2017-07-18T09:15:28Z,0,diverged,1,38
android,avalond/easypermissions,0,112,0,1,0,28,1,2016-04-06T09:12:39Z,0,diverged,1,137
android,aystshen/android-BluetoothLeGatt,0,316,0,1,0,27,0,2018-08-23T08:14:59Z,0,ahead,2,0
android,bachhoan88/easypermissions,0,522,0,1,0,156,0,2018-09-07T04:55:55Z,0,diverged,2,10
android,baiiu/easypermissions,7,160,20,3,0,45,0,2018-10-11T03:46:05Z,0,diverged,7,126
android,bakikocak/android-testing,0,11095,1,1,0,131,0,2018-03-28T12:19:37Z,0,diverged,1,53
android,balafroyo/android-AppShortcuts,0,836,0,0,0,13,0,2017-11-10T17:32:28Z,0,diverged,7,1
android,balazsbanyai/android-ScreenCapture,0,418,0,1,0,6,0,2015-04-28T11:43:00Z,0,diverged,3,17
android,baldarn/android-BluetoothChat,0,576,0,1,0,24,0,2017-09-06T19:53:23Z,0,diverged,1,2
android,Baneeishaque/android-ActionBarCompat-ShareActionProvider,0,1584,0,1,0,20,0,2018-08-26T14:22:28Z,0,ahead,1,0
android,baojian2015/android-NfcProvisioning,0,396,0,1,0,6,1,2015-06-12T03:30:25Z,0,diverged,1,14
android,barrystaes/android-BasicAccessibility,0,362,0,1,0,25,0,2018-04-09T11:47:55Z,0,diverged,1,1
android,bawageshirish/android-BluetoothChat,0,571,0,1,0,29,0,2017-07-26T06:38:28Z,0,diverged,6,2
android,baxterai/android-BluetoothLeGatt,0,316,0,1,0,27,0,2018-07-27T22:29:17Z,0,ahead,2,0
android,bbrrck/android-AccelerometerPlay,0,3334,0,1,0,4,0,2017-02-09T22:18:16Z,0,ahead,3,0
android,bcyrill/android-play-safetynet,0,401,0,1,0,23,0,2018-01-01T13:06:25Z,0,ahead,3,0
