framework,version,date,delay,mediana do android,,mediana do spring
Android,27, 2018-01-22 00:00:00 ,48,50,,0
Android,26, 2018-02-15 00:00:00 ,178,,,
Android,27, 2018-02-23 00:00:00 ,80,,,
Android,26, 2017-06-08 00:00:00 ,0,,,
Android,26, 2017-12-04 00:00:00 ,105,,,
Android,23, 2015-10-02 00:00:00 ,46,,,
Android,25, 2017-04-02 00:00:00 ,118,,,
Android,23, 2015-10-02 00:00:00 ,46,,,
Android,25, 2017-04-09 00:00:00 ,125,,,
Android,23, 2015-10-02 00:00:00 ,46,,,
Android,25, 2017-04-02 00:00:00 ,118,,,
Android,26, 2017-12-04 00:00:00 ,105,,,
Android,26, 2017-12-04 00:00:00 ,105,,,
Android,23, 2015-09-03 00:00:00 ,17,,,
Android,24, 2016-06-27 00:00:00 ,12,,,
Android,25, 2016-11-21 00:00:00 ,0,,,
Android,27, 2018-05-22 00:00:00 ,168,,,
Android,24, 2016-06-27 00:00:00 ,12,,,
Android,25, 2017-02-27 00:00:00 ,84,,,
Android,27, 2018-05-22 00:00:00 ,168,,,
Android,23, 2015-09-03 00:00:00 ,17,,,
Android,24, 2016-06-27 00:00:00 ,12,,,
Android,25, 2016-11-21 00:00:00 ,0,,,
Android,26, 2017-09-20 00:00:00 ,30,,,
Android,27, 2018-05-22 00:00:00 ,168,,,
Android,23, 2015-09-01 00:00:00 ,15,,,
Android,24, 2016-06-27 00:00:00 ,12,,,
Android,25, 2016-11-21 00:00:00 ,0,,,
Android,27, 2018-05-22 00:00:00 ,168,,,
Android,24, 2016-09-14 00:00:00 ,91,,,
Android,24, 2016-09-14 00:00:00 ,91,,,
Android,23, 2015-09-01 00:00:00 ,15,,,
Android,24, 2016-08-01 00:00:00 ,47,,,
Android,26, 2017-07-25 00:00:00 ,0,,,
Android,23, 2015-09-01 00:00:00 ,15,,,
Android,24, 2016-08-01 00:00:00 ,47,,,
Android,26, 2017-07-25 00:00:00 ,0,,,
Android,23, 2015-09-01 00:00:00 ,15,,,
Android,24, 2016-08-01 00:00:00 ,47,,,
Android,26, 2017-07-25 00:00:00 ,0,,,
Android,23, 2015-09-01 00:00:00 ,15,,,
Android,24, 2016-08-01 00:00:00 ,47,,,
Android,26, 2017-07-25 00:00:00 ,0,,,
Android,26, 2017-07-25 00:00:00 ,0,,,
Android,23, 2015-09-01 00:00:00 ,15,,,
Android,24, 2016-08-01 00:00:00 ,47,,,
Android,26, 2017-07-25 00:00:00 ,0,,,
Android,23, 2015-09-01 00:00:00 ,15,,,
Android,24, 2016-08-01 00:00:00 ,47,,,
Android,26, 2017-07-25 00:00:00 ,0,,,
Android,23, 2015-09-01 00:00:00 ,15,,,
Android,24, 2016-08-01 00:00:00 ,47,,,
Android,26, 2017-07-25 00:00:00 ,0,,,
Android,26, 2017-07-25 00:00:00 ,0,,,
Android,23, 2015-09-01 00:00:00 ,15,,,
Android,24, 2016-08-01 00:00:00 ,47,,,
Android,26, 2017-07-25 00:00:00 ,0,,,
Android,23, 2015-09-01 00:00:00 ,15,,,
Android,24, 2016-08-01 00:00:00 ,47,,,
Android,26, 2017-07-25 00:00:00 ,0,,,
Android,23, 2015-09-01 00:00:00 ,15,,,
Android,24, 2016-08-01 00:00:00 ,47,,,
Android,26, 2017-07-25 00:00:00 ,0,,,
Android,23, 2015-09-01 00:00:00 ,15,,,
Android,24, 2016-08-01 00:00:00 ,47,,,
Android,26, 2017-07-25 00:00:00 ,0,,,
Android,23, 2015-09-01 00:00:00 ,15,,,
Android,24, 2016-08-01 00:00:00 ,47,,,
Android,26, 2017-07-25 00:00:00 ,0,,,
Android,23, 2015-08-20 00:00:00 ,3,,,
Android,24, 2016-08-12 00:00:00 ,58,,,
Android,25, 2016-12-13 00:00:00 ,8,,,
Android,26, 2017-10-10 00:00:00 ,50,,,
Android,27, 2017-12-08 00:00:00 ,3,,,
Android,25, 2017-06-29 00:00:00 ,206,,,
Android,27, 2018-10-03 00:00:00 ,302,,,
Android,23, 2015-11-05 00:00:00 ,80,,,
Android,25, 2017-02-03 00:00:00 ,60,,,
Android,27, 2018-01-19 00:00:00 ,45,,,
Android,26, 2017-06-08 00:00:00 ,0,,,
Android,26, 2017-06-08 00:00:00 ,0,,,
Android,23, 2016-05-20 00:00:00 ,277,,,
Android,27, 2018-02-14 00:00:00 ,71,,,
Android,27, 2018-02-14 00:00:00 ,71,,,
Android,22, 2015-04-28 00:00:00 ,50,,,
Android,23, 2015-08-17 00:00:00 ,0,,,
Android,24, 2016-08-12 00:00:00 ,58,,,
Android,25, 2016-12-13 00:00:00 ,8,,,
Android,26, 2017-10-10 00:00:00 ,50,,,
Android,27, 2018-02-15 00:00:00 ,72,,,
Android,24, 2016-09-13 00:00:00 ,90,,,
Android,24, 2016-09-13 00:00:00 ,90,,,
Android,27, 2018-05-01 00:00:00 ,147,,,
Android,24, 2016-09-13 00:00:00 ,90,,,
Android,27, 2018-05-01 00:00:00 ,147,,,
Android,24, 2016-09-13 00:00:00 ,90,,,
Android,24, 2016-09-13 00:00:00 ,90,,,
Android,24, 2016-09-12 00:00:00 ,89,,,
Android,24, 2016-09-13 00:00:00 ,90,,,
Android,23, 2015-09-29 00:00:00 ,43,,,
Android,25, 2017-02-27 00:00:00 ,84,,,
