path,build.compileSdk,build.targetSdk,build.minSdkVersion,AndroidManifest.maxSdkVersion,AndroidManifest.targetSdkVersion,AndroidManifest.minSdkVersion
./repositorios/androidtv-VisualGameController/build.gradle,19,19,10,,,
./repositorios/android-codelab-watchface/5-palette/build.gradle,21,21,21,,,
./repositorios/android-codelab-watchface/4-ambient/build.gradle,21,21,21,,,
./repositorios/android-codelab-watchface/1-base/build.gradle,21,21,21,,,
./repositorios/android-codelab-watchface/3-hands/build.gradle,21,21,21,,,
./repositorios/android-codelab-watchface/2-background/build.gradle,21,21,21,,,
./repositorios/android-google-accounts/AutoManage/app/build.gradle,21,21,9,,,
./repositorios/android-google-accounts/QuickStart/app/build.gradle,21,21,9,,,
./repositorios/android-play-games-in-motion/app/build.gradle,21,21,16,,,
./repositorios/android-DisplayingBitmaps/Application/build.gradle,27,22,9,,,
./repositorios/android-gcmnetworkmanager/app/build.gradle,22,22,9,,,
./repositorios/androidtv-daydream/app/build.gradle,22,22,21,,,
./repositorios/android-StorageProvider/Application/build.gradle,27,22,19,,,
./repositorios/attendee-checkin/app/build.gradle,22,22,14,,,
./repositorios/android-BasicContactables/Application/build.gradle,27,22,18,,,
./repositorios/android-LNotifications/Application/build.gradle,27,22,21,,,
./repositorios/identity-toolkit-android/tutorial/build.gradle,23,23,11,,,
./repositorios/android-WearCompanionLibrary/WCL/build.gradle,23,23,17,,,
./repositorios/android-vision/visionSamples/ocr-reader/app/build.gradle,23,23,9,,,
./repositorios/android-nearby/messages/NearbyBackgroundBeacons/app/build.gradle,23,23,9,,,
./repositorios/android-nearby/messages/NearbyDevices/app/build.gradle,23,23,9,,,
./repositorios/android-WclDemoSample/mobile/build.gradle,23,23,17,,,
./repositorios/android-WclDemoSample/shared/build.gradle,23,23,17,,,
./repositorios/android-WclDemoSample/wear/build.gradle,23,23,21,,,
./repositorios/android-AccelerometerPlay/app/build.gradle,23,23,11,,,
./repositorios/android-play-places/PlaceCompleteAdapter/Application/build.gradle,23,23,14,,,
./repositorios/android-play-places/PlacePicker/Application/build.gradle,23,23,14,,,
./repositorios/android-play-places/PlaceCompleteActivity/Application/build.gradle,23,23,14,,,
./repositorios/android-play-places/PlaceCompleteFragment/Application/build.gradle,23,23,14,,,
./repositorios/android-vision/visionSamples/photo-demo/app/build.gradle,24,24,9,,,
./repositorios/android-vision/visionSamples/FaceTracker/app/build.gradle,24,24,9,,,
./repositorios/android-vision/visionSamples/googly-eyes/app/build.gradle,24,24,9,,,
./repositorios/android-vision/visionSamples/multi-tracker/app/build.gradle,24,24,9,,,
./repositorios/android-vision/visionSamples/barcode-reader/app/build.gradle,24,24,9,,,
./repositorios/android-ActionBarCompat-ShareActionProvider/Application/build.gradle,24,24,7,,,
./repositorios/android-ScopedDirectoryAccess/Application/build.gradle,24,24,24,,,
./repositorios/android-OurStreets/app/build.gradle,24,24,21,,,
./repositorios/androidtv-sample-inputs/app/build.gradle,24,24,21,,,
./repositorios/androidtv-sample-inputs/library/build.gradle,24,24,21,,,
./repositorios/android-DragAndDropAcrossApps/DragSource/build.gradle,24,24,24,,,
./repositorios/android-DragAndDropAcrossApps/DropTarget/build.gradle,24,24,24,,,
./repositorios/android-ActiveNotifications/Application/build.gradle,24,24,24,,,
./repositorios/android-MessagingService/Application/build.gradle,24,24,21,,,
./repositorios/android-MultiWindowPlayground/Application/build.gradle,24,24,24,,,
./repositorios/android-CommitContentSampleIME/app/build.gradle,25,25,16,,,
./repositorios/android-JumpingJack/Wearable/build.gradle,27,25,24,,,
./repositorios/android-fido/app/build.gradle,26,25,15,,,
./repositorios/android-WearStandaloneGoogleSignIn/app/build.gradle,25,25,25,,,
./repositorios/android-GridViewPager/Wearable/build.gradle,27,25,24,,,
./repositorios/android-CommitContentSampleApp/app/build.gradle,25,25,16,,,
./repositorios/android-play-awareness/basic-awareness-sample/app/build.gradle,25,25,14,,,
./repositorios/android-AppShortcuts/app/build.gradle,25,25,25,,,
./repositorios/android-ContentProviderPaging/kotlinApp/resources/build.gradle,25,25,16,,,
./repositorios/android-ContentProviderPaging/resources/build.gradle,25,25,16,,,
./repositorios/android-WearOAuth/app/build.gradle,25,25,25,,,
./repositorios/android-WatchViewStub/Wearable/build.gradle,27,25,24,,,
./repositorios/android-play-location/ActivityRecognition/app/build.gradle,25,25,16,,,
./repositorios/android-play-location/LocationUpdates/app/build.gradle,25,25,16,,,
./repositorios/android-play-location/LocationAddress/java/app/build.gradle,25,25,16,,,
./repositorios/android-play-location/BasicLocationSample/java/app/build.gradle,25,25,16,,,
./repositorios/android-DirectBoot/Application/build.gradle,25,25,24,,,
./repositorios/android-SimpleMediaPlayer/app/build.gradle,25,25,25,,,
./repositorios/android-WearAccessibilityApp/Wearable/build.gradle,26,26,24,,,
./repositorios/android-WearVerifyRemoteApp/Wearable/build.gradle,26,26,23,,,
./repositorios/android-play-safetynet/client/java/SafetyNetSample/Application/build.gradle,26,26,15,,,
./repositorios/android-DownloadableFonts/app/build.gradle,26,26,14,,,
./repositorios/android-DownloadableFonts/kotlinApp/app/build.gradle,26,26,14,,,
./repositorios/account-transfer-api/app/build.gradle,26,26,19,,,
./repositorios/android-AlwaysOn/Wearable/build.gradle,26,26,23,,,
./repositorios/android-fit/StepCounter/app/build.gradle,26,26,14,,,
./repositorios/android-fit/BasicHistoryApi/app/build.gradle,26,26,14,,,
./repositorios/android-fit/BasicSensorsApi/app/build.gradle,26,26,14,,,
./repositorios/android-fit/BasicRecordingApi/app/build.gradle,26,26,14,,,
./repositorios/android-fit/BasicHistorySessions/app/build.gradle,26,26,14,,,
./repositorios/android-RuntimePermissions/kotlinApp/app/build.gradle,26,26,15,,,
./repositorios/android-WearSpeakerSample/wear/build.gradle,26,26,23,,,
./repositorios/leanback-assistant/app/build.gradle,26,26,23,,,
./repositorios/android-XYZTouristAttractions/Wearable/build.gradle,26,26,23,,,
./repositorios/android-testing/integration/ServiceTestRuleSample/app/build.gradle,28,26,14,,,
./repositorios/android-testing/unit/BasicSample/app/build.gradle,28,26,14,,,
./repositorios/android-custom-lint-rules/android-studio-3/library/build.gradle,26,26,15,,,
./repositorios/android-FingerprintDialog/Application/build.gradle,26,26,23,,,
./repositorios/android-DataLayer/Wearable/build.gradle,26,26,23,,,
./repositorios/android-WearDrawers/Wearable/build.gradle,26,26,23,,,
./repositorios/android-EmojiCompat/app/build.gradle,26,26,19,,,
./repositorios/android-EmojiCompat/kotlinApp/app/build.gradle,26,26,19,,,
./repositorios/leanback-showcase/app/build.gradle,26,26,21,,,
./repositorios/android-AutofillFramework/kotlinApp/Application/build.gradle,26,26,26,,,
./repositorios/android-play-location/LocationUpdatesPendingIntent/app/build.gradle,26,26,16,,,
./repositorios/android-play-location/Geofencing/app/build.gradle,26,26,16,,,
./repositorios/android-play-location/LocationUpdatesForegroundService/app/build.gradle,26,26,16,,,
./repositorios/android-WearHighBandwidthNetworking/Wearable/build.gradle,26,26,24,,,
./repositorios/android-SpeedTracker/Wearable/build.gradle,26,26,23,,,
./repositorios/android-Camera2Basic/kotlinApp/Application/build.gradle,26,26,21,,,
./repositorios/android-WearComplicationProvidersTestSuite/Wearable/build.gradle,26,26,23,,,
./repositorios/android-ads/doubleclick/RewardedVideoExample/app/build.gradle,26,26,14,,,
./repositorios/android-ads/doubleclick/BannerExample/app/build.gradle,26,26,14,,,
./repositorios/android-ads/doubleclick/InterstitialExample/app/build.gradle,26,26,14,,,
./repositorios/android-ads/doubleclick/CustomRenderingExample/app/build.gradle,26,26,14,,,
./repositorios/android-ads/advanced/APIDemo/app/build.gradle,26,26,14,,,
./repositorios/android-ads/advanced/BannerRecyclerViewExample/app/build.gradle,26,26,14,,,
./repositorios/android-ads/admob/RewardedVideoExample/app/build.gradle,26,26,14,,,
./repositorios/android-ads/admob/BannerExample/app/build.gradle,26,26,14,,,
./repositorios/android-ads/admob/NativeAdvancedExample/app/build.gradle,26,26,14,,,
