nameProject,total,add,modify,delete,tipoDistinct,java,javaDistinct,properties,jar,jarDistinct,build.gradle,buildDistinct,pom.xml,pomDistinct,manifest.xml,manifestDistinct,xml,xmlDistinct,bat,batDistinct,md,adoc,read,yaml,yamlDistinct,txt,txtDistinct,sh,shDistinct,travisyml,yml,ymlDistinct,cmd,cmdDistinct,kt,ktDistinct,json,jsonDistinct,other
tut-rest,349,130,136,83,14,158,65,4,0,0,0,0,40,9,0,0,78,28,0,0,4,37,41,0,0,8,8,2,2,2,0,0,0,0,0,0,0,0,58
gs-vault-config,411,38,367,6,13,9,5,16,12,4,137,2,133,2,0,0,133,2,6,2,8,65,73,0,0,2,2,4,2,4,0,0,2,2,0,0,0,0,17
gs-spring-boot,556,37,515,4,13,32,6,16,14,4,152,2,151,2,0,0,151,2,4,2,81,82,163,0,0,2,2,3,2,3,0,0,2,2,0,0,0,0,17
gs-rest-service,828,102,659,67,23,43,23,24,20,6,166,5,171,3,0,0,173,4,10,4,159,88,247,0,0,2,2,15,2,6,2,1,2,2,0,0,3,2,121
gs-spring-boot-docker,305,39,260,6,17,9,3,11,11,4,85,2,79,2,0,0,79,2,4,2,0,52,52,0,0,2,2,3,2,4,1,1,2,2,0,0,2,1,44
gs-scheduling-tasks,578,62,486,30,14,56,31,20,18,6,151,4,161,4,0,0,163,5,8,4,109,17,126,0,0,2,2,3,2,4,0,0,2,2,0,0,0,0,29
gs-maven,177,30,140,7,11,11,7,2,2,2,0,0,24,3,0,0,24,3,0,0,54,64,118,0,0,3,3,3,2,3,0,0,2,2,0,0,0,0,12
gs-crud-with-vaadin,240,38,202,0,12,45,11,9,9,4,63,2,78,2,0,0,78,2,4,2,0,15,15,0,0,2,2,1,1,3,0,0,2,2,0,0,0,0,12
gs-uploading-files,662,73,563,26,14,67,24,29,18,5,160,2,160,2,0,0,160,2,8,3,86,85,171,0,0,5,4,3,2,4,0,0,2,2,0,0,0,0,39
gs-testing-web,161,37,124,0,12,16,9,6,6,4,44,2,44,2,0,0,44,2,4,2,0,27,27,0,0,2,2,1,1,2,0,0,2,2,0,0,0,0,9
gs-serving-web-content,502,40,457,5,14,9,5,16,12,4,146,2,142,2,0,0,142,2,4,2,76,72,148,0,0,2,2,3,2,3,0,0,2,2,0,0,0,0,18
gs-service-registration-and-discovery,740,97,587,56,13,22,9,42,32,11,215,9,217,8,0,0,217,8,20,9,95,49,144,0,0,2,2,3,2,4,0,0,2,2,0,0,0,0,41
gs-securing-web,760,119,565,76,17,58,16,20,18,4,157,2,156,2,0,0,236,42,8,2,103,82,185,0,0,2,2,3,2,3,0,0,2,2,0,0,0,0,71
gs-rest-service-cors,469,57,394,18,20,18,6,12,12,4,138,2,129,2,0,0,129,2,4,2,14,77,91,0,0,2,2,10,4,3,4,1,2,2,0,0,2,2,45
gs-relational-data-access,562,47,498,17,13,8,3,20,18,5,157,3,155,2,0,0,155,2,8,3,95,71,166,0,0,2,2,3,2,3,0,0,2,2,0,0,0,0,23
gs-producing-web-service,447,42,399,6,14,24,8,12,10,4,145,2,134,2,0,0,136,4,4,2,8,82,90,0,0,2,2,3,2,3,0,0,2,2,0,0,0,0,19
gs-multi-module,215,44,168,3,13,14,7,7,6,4,79,4,76,6,0,0,76,6,4,2,0,11,11,0,0,2,2,1,1,2,0,0,2,2,0,0,0,0,13
gs-messaging-stomp-websocket,573,94,422,57,21,37,15,19,14,5,150,3,135,3,0,0,141,7,6,3,20,74,94,0,0,0,0,7,6,3,0,0,2,2,0,0,0,0,103
gs-messaging-rabbitmq,591,56,514,21,13,34,11,22,18,5,155,3,155,2,0,0,155,2,8,3,90,76,166,0,0,2,2,3,2,4,1,1,2,2,0,0,0,0,25
gs-messaging-jms,673,98,509,66,18,22,6,22,18,5,163,3,157,2,0,0,213,30,8,3,95,75,170,0,0,2,2,3,2,3,0,0,2,2,0,0,0,0,50
gs-gradle,189,32,146,11,12,5,5,10,8,2,21,3,0,0,0,0,0,0,5,2,58,60,118,0,0,2,2,4,2,3,0,0,0,0,0,0,1,1,15
gs-consuming-web-service,408,36,369,3,13,22,5,10,10,4,140,2,127,2,0,0,127,2,4,2,2,71,73,0,0,2,2,3,2,3,1,1,2,2,0,0,0,0,14
gs-consuming-rest,559,42,507,10,13,17,7,18,16,5,158,3,162,2,0,0,162,2,6,3,83,74,157,0,0,2,2,3,2,3,0,0,2,2,0,0,0,0,18
gs-client-side-load-balancing,566,67,472,27,13,12,7,24,22,8,199,6,182,6,0,0,182,6,14,6,8,68,76,0,0,2,2,3,2,4,2,2,2,2,0,0,0,0,28
gs-centralized-configuration,784,113,600,71,13,22,10,57,38,15,217,13,214,12,0,0,214,12,24,13,95,59,154,0,0,2,2,4,2,5,0,0,2,2,0,0,0,0,50
gs-authenticating-ldap,626,74,515,37,14,65,25,31,18,5,163,3,167,2,0,0,174,3,8,3,96,27,123,0,0,2,2,4,2,3,0,0,2,2,0,0,0,0,36
gs-accessing-mongodb-data-rest,372,32,340,0,12,6,4,10,10,4,126,2,123,2,0,0,123,2,4,2,0,74,74,0,0,2,2,1,1,4,0,0,2,2,0,0,0,0,14
gs-accessing-data-rest,375,32,343,0,12,11,4,10,10,4,124,2,123,2,0,0,123,2,4,2,0,75,75,0,0,2,2,1,1,3,0,0,2,2,0,0,0,0,13
gs-accessing-data-mysql,417,40,371,6,13,11,6,13,10,4,140,2,133,2,0,0,133,2,4,2,8,73,81,0,0,2,2,3,2,5,2,1,2,2,0,0,0,0,16
gs-accessing-data-jpa,523,46,463,14,14,20,4,16,14,4,153,2,158,2,0,0,158,2,4,2,87,26,113,0,0,2,2,4,2,4,0,0,2,2,0,0,0,0,37
getting-started-guides,387,35,348,4,13,4,3,12,10,4,133,2,129,2,0,0,129,2,4,2,8,66,74,0,0,2,2,3,2,3,0,0,2,2,0,0,0,0,14
gs-accessing-data-gemfire,512,49,447,16,14,29,3,19,14,4,154,2,135,2,0,0,135,2,4,2,79,21,100,0,0,2,2,16,2,3,0,0,2,2,0,0,0,0,37
gs-validating-form-input,590,74,481,35,16,34,15,26,18,5,156,3,165,2,0,0,167,3,10,3,87,24,111,0,0,2,2,3,2,3,0,0,2,2,0,0,0,0,61
gs-testing-restdocs,77,33,44,0,12,4,4,6,6,4,14,2,18,2,0,0,18,2,4,2,0,10,10,0,0,2,2,1,1,2,0,0,2,2,0,0,0,0,10
gs-spring-boot-for-azure,392,39,347,6,14,4,3,12,10,4,133,2,129,2,0,0,129,2,4,2,8,68,76,0,0,2,2,3,2,4,0,0,2,2,0,0,0,0,17
gs-rest-hateoas,569,40,522,7,14,21,6,16,14,4,158,2,158,2,0,0,158,2,4,2,96,74,170,0,0,2,2,6,2,3,0,0,2,2,0,0,2,1,16
gs-reactive-rest-service,424,42,374,8,14,21,8,14,12,4,133,2,135,2,0,0,135,2,4,2,8,73,81,0,0,2,2,3,2,3,0,0,2,2,0,0,0,0,17
gs-messaging-redis,584,53,511,20,13,20,10,24,18,5,155,3,164,2,0,0,166,3,8,3,91,69,160,0,0,2,2,3,2,4,0,0,2,2,0,0,0,0,26
gs-messaging-gcp-pubsub,426,39,380,7,14,12,5,18,10,4,144,2,138,2,0,0,138,2,4,2,8,69,77,0,0,2,2,3,2,4,0,0,2,2,0,0,0,0,16
gs-managing-transactions,512,35,474,3,14,14,3,16,14,4,150,2,149,2,0,0,149,2,4,2,75,68,143,0,0,2,2,3,2,3,0,0,2,2,0,0,0,0,15
gs-integration,526,40,478,8,15,6,3,16,14,4,153,2,156,2,0,0,163,6,4,2,87,55,142,0,0,2,2,3,2,4,0,0,2,2,0,0,0,0,21
gs-handling-form-submission,497,44,449,4,15,12,7,16,14,4,151,2,146,2,0,0,146,2,4,2,60,65,125,0,0,2,2,3,2,3,0,0,2,2,0,0,0,0,22
gs-gateway,417,38,372,7,13,11,5,12,10,4,141,2,137,2,0,0,137,2,4,2,8,69,77,0,0,2,2,3,2,5,1,1,2,2,0,0,0,0,17
gs-contract-rest,573,84,480,9,15,43,18,29,22,8,188,6,165,6,0,0,165,6,10,6,8,69,77,0,0,2,2,4,2,4,0,0,2,2,0,0,0,0,31
gs-circuit-breaker,533,76,432,25,13,18,9,30,26,12,181,6,170,6,0,0,170,6,14,6,8,51,59,0,0,2,2,3,2,4,0,0,2,2,0,0,0,0,28
gs-caching-gemfire,538,37,496,5,13,31,6,16,14,4,162,2,151,2,0,0,151,2,4,2,72,66,138,0,0,2,2,4,2,3,0,0,2,2,0,0,0,0,14
gs-caching,430,43,381,6,13,34,11,12,10,4,140,2,131,2,0,0,131,2,4,2,8,69,77,0,0,2,2,3,2,3,0,0,2,2,0,0,0,0,15
gs-batch-processing,576,46,521,9,15,38,5,22,14,4,148,2,154,2,0,0,154,2,4,2,94,71,165,0,0,2,2,5,2,3,0,0,2,2,0,0,0,0,22
gs-async-method,525,36,485,4,13,20,5,16,14,4,152,2,147,2,0,0,147,2,4,2,75,75,150,0,0,2,2,4,2,3,0,0,2,2,0,0,0,0,14
gs-actuator-service,526,42,479,5,13,17,6,21,16,4,159,2,155,2,0,0,155,2,4,2,98,28,126,0,0,2,2,4,2,3,0,0,2,2,0,0,0,0,20
gs-accessing-vault,405,37,362,6,13,8,4,13,10,4,141,2,133,2,0,0,133,2,4,2,8,65,73,0,0,2,2,4,2,4,0,0,2,2,0,0,0,0,15
gs-accessing-neo4j-data-rest,406,34,372,0,13,11,4,11,10,4,134,2,128,2,0,0,128,2,4,2,0,73,73,0,0,2,2,1,1,18,0,0,2,2,0,0,0,0,30
gs-accessing-gemfire-data-rest,397,32,365,0,12,16,4,10,10,4,138,2,138,2,0,0,138,2,4,2,0,62,62,0,0,2,2,1,1,3,0,0,2,2,0,0,0,0,14
gs-accessing-data-neo4j,613,66,514,33,15,36,12,25,18,5,183,3,168,2,0,0,168,2,8,3,89,27,116,0,0,2,2,4,2,5,0,0,2,2,0,0,0,0,51
gs-accessing-data-mongodb,515,48,453,14,14,11,4,16,14,4,158,2,159,2,0,0,159,2,4,2,81,27,108,0,0,2,2,4,2,4,0,0,2,2,0,0,0,0,37
tut-spring-boot-oauth2,285,60,225,0,10,60,18,1,1,1,0,0,85,8,0,0,85,8,0,0,0,80,80,0,0,2,2,0,0,4,22,11,1,1,0,0,0,0,33
quoters,47,24,17,6,11,19,7,4,3,2,2,1,2,1,0,0,2,1,2,1,0,2,2,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,10
