project, imports, javaFiles, imports/javaFiles
android-AutofillFramework, 608, 348, 1.75
android-play-location, 176, 22, 8.00
google-services, 136, 19, 7.16
easypermissions, 86, 28, 3.07
android-testing, 170, 58, 2.93
android-Camera2Basic, 48, 4, 12.00
android-credentials, 134, 17, 7.88
android-EmojiCompat, 20, 3, 6.67
android-instant-apps, 211, 38, 5.55
android-nearby, 136, 15, 9.07
android-AppUsageStatistics, 34, 6, 5.67
android-custom-lint-rules, 0, 7, 0.00
android-play-billing, 96, 35, 2.74
android-vision, 372, 48, 7.75
android-ads, 205, 26, 7.88
android-SpeedTracker, 58, 12, 4.83
android-BluetoothLeGatt, 52, 4, 13.00
android-Camera2Raw, 57, 4, 14.25
android-WifiRttScan, 41, 4, 10.25
android-ActionBarCompat-ShareActionProvider, 26, 4, 6.50
android-testdpc, 1239, 126, 9.83
android-PictureInPicture, 64, 5, 12.80
android-ActivitySceneTransitionBasic, 39, 11, 3.55
android-Camera2Video, 43, 3, 14.33
android-Notifications, 117, 23, 5.09
android-BasicAccessibility, 27, 9, 3.00
android-XYZTouristAttractions, 152, 18, 8.44
android-WearVerifyRemoteApp, 24, 2, 12.00
android-WearSpeakerSample, 39, 3, 13.00
android-WearHighBandwidthNetworking, 15, 1, 15.00
android-WearDrawers, 19, 2, 9.50
android-WearComplicationProvidersTestSuite, 56, 8, 7.00
android-WearAccessibilityApp, 210, 32, 6.56
android-WatchFace, 173, 17, 10.18
android-RuntimePermissionsWear, 58, 8, 7.25
android-JumpingJack, 50, 12, 4.17
android-DataLayer, 75, 8, 9.38
android-AlwaysOn, 15, 1, 15.00
android-MediaEffects, 42, 11, 3.82
android-DirectBoot, 63, 9, 7.00
leanback-showcase, 1162, 154, 7.55
android-MessagingService, 53, 7, 7.57
androidtv-sample-inputs, 381, 59, 6.46
leanback-homescreen-channels, 166, 22, 7.55
android-play-publisher-api, 0, 12, 0.00
androidtv-Leanback, 184, 38, 4.84
android-BluetoothChat, 70, 12, 5.83
android-MediaRecorder, 24, 3, 8.00
android-fit, 81, 31, 2.61
android-DisplayingBitmaps, 119, 21, 5.67
android-testing-templates, 39, 13, 3.00
android-ActivityInstrumentation, 26, 8, 3.25
chromeos-android-draganddrop-demo, 17, 3, 5.67
android-BasicRenderScript, 11, 2, 5.50
android-TensorFlowCloudMachineLearningEngineStylizer, 74, 7, 10.57
android-CustomChoiceList, 27, 9, 3.00
android-WatchViewStub, 11, 1, 11.00
android-Timer, 32, 6, 5.33
android-TextSwitcher, 25, 7, 3.57
android-TextLinkify, 26, 8, 3.25
android-SynchronizedNotifications, 45, 13, 3.46
android-SwipeRefreshMultipleViews, 65, 14, 4.64
android-SwipeRefreshListFragment, 65, 14, 4.64
android-SwipeRefreshLayoutBasic, 59, 13, 4.54
android-StorageProvider, 41, 10, 4.10
android-StorageClient, 40, 10, 4.00
android-SlidingTabsColors, 59, 13, 4.54
android-SlidingTabsBasic, 52, 12, 4.33
android-SkeletonWearableApp, 32, 2, 16.00
android-ShareActionProvider, 28, 4, 7.00
android-ScreenCapture, 43, 10, 4.30
android-ScopedDirectoryAccess, 33, 4, 8.25
android-RuntimePermissions, 54, 6, 9.00
android-RevealEffectBasic, 32, 10, 3.20
android-RepeatingAlarm, 28, 9, 3.11
android-RenderScriptIntrinsic, 34, 3, 11.33
android-RecyclerView, 36, 10, 3.60
android-RecipeAssistant, 64, 14, 4.57
android-Quiz, 35, 8, 4.38
android-PermissionRequest, 63, 13, 4.85
android-PdfRendererBasic, 23, 3, 7.67
android-NotificationChannels, 19, 2, 9.50
android-NfcProvisioning, 57, 13, 4.38
android-NetworkConnect, 21, 4, 5.25
android-NavigationDrawer, 53, 10, 5.30
android-MultiWindowPlayground, 42, 14, 3.00
android-MidiSynth, 74, 25, 2.96
android-MidiScope, 80, 28, 2.86
android-MediaRouter, 148, 17, 8.71
android-MediaBrowserService, 92, 9, 10.22
android-LNotifications, 55, 4, 13.75
