nameProject,total,add,modify,delete,tipoDistinct,java,javaDistinct,properties,jar,jarDistinct,build.gradle,buildDistinct,pom.xml,pomDistinct,manifest.xml,manifestDistinct,xml,xmlDistinct,bat,batDistinct,md,adoc,read,yaml,yamlDistinct,txt,txtDistinct,sh,shDistinct,travisyml,yml,ymlDistinct,cmd,cmdDistinct,kt,ktDistinct,json,jsonDistinct,other
making/tut-bookmarks,17,7,10,0,4,7,7,1,0,0,0,0,8,7,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
piotrlochowski/academy-rest-maturity,12,2,2,8,6,4,4,1,0,0,0,0,3,3,0,0,3,3,0,0,1,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1
tuhinkanti/tut-bookmarks,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
davidmeredith/tut-bookmarks,8,3,5,0,5,2,2,0,0,0,0,0,2,2,0,0,2,2,0,0,2,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Srini4u/tut-bookmarks,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xiangdewei/tut-bookmarks,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
narraboss/tut-bookmarks,8,0,8,0,2,7,6,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yefengchun/tut-bookmarks,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
RavisankarCts/tut-bookmarks,2,0,2,0,1,0,0,0,0,0,0,0,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EvgeniiaVak/tut-bookmarks,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lsegala/bankslips,90,19,41,30,7,62,45,3,0,0,0,0,15,6,0,0,15,6,0,0,4,2,6,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2
mlvandijk/tut-rest,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
donhuvy/tut-rest,54,0,54,0,3,45,32,0,0,0,0,0,8,5,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
arkenoid/gs-spring-boot,3,1,2,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
pcholakov/docker-spring-boot-primer,14,4,0,10,10,2,2,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4
igilham/gs-spring-boot,6,2,4,0,3,4,3,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pollseed/gs-spring-boot,3,0,3,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheparzo/gs-spring-boot,12,3,9,0,4,4,4,0,0,0,1,1,6,2,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
lalithvaka/gs-spring-boot,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
harisankars/gs-spring-boot,4,2,2,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EricGuilherme/gs-spring-boot,255,252,3,0,50,6,6,15,0,0,0,0,1,1,0,0,22,22,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,209
edunning/java-code-example,12,4,0,8,7,2,2,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
thaithien/gs-spring-boot,2,1,1,0,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tom-collings/gs-spring-boot,11,11,0,0,6,5,5,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
nsdiv/gs-spring-boot,8,4,4,0,2,6,5,0,0,0,0,0,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jiming/gs-spring-boot,8,6,2,0,2,7,7,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pvtl-shane/gs-spring-boot,30,16,14,0,4,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,16,10,0,0,0,0,0,0,11
sehan/gs-spring-boot,6,0,6,0,2,4,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amirfried/gs-spring-boot,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luzma87/gs-spring-boot,23,19,4,0,5,13,12,1,7,7,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marcelib/gs-spring-boot,2,0,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kapilkshemkalyani/gs-spring-boot,6,1,5,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
agbpatro/geospatial587,280,40,201,39,16,177,57,9,3,3,2,2,9,2,0,0,9,2,1,1,11,2,13,0,0,4,4,1,1,0,0,0,1,1,0,0,0,0,60
xtreme-sameer-vohra/gs-spring-boot,7,3,3,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ozoli/gs-spring-boot,15,0,0,15,8,4,4,2,2,2,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
godisren/gs-spring-boot,4,2,2,0,2,3,3,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lsqaisen/gs-spring-boot,8,2,6,0,2,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,3
pkenguva/gs-spring-boot,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
billmoling/gs-spring-boot,4,0,4,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cynic89/gs-spring-boot,12,1,11,0,3,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0
