android-AutofillFramework/afservice/build.gradle,27, 2018-01-22 00:00:00 ,48,26, 2018-02-15 00:00:00 ,178,27, 2018-02-23 00:00:00 ,80, ,,,,,,,,,,,,,,,
android-credentials/credentials-signin/app/build.gradle,27, 2018-10-03 00:00:00 ,302, ,,,,,,,,,,,,,,,,,,,,,
android-nearby/connections/rockpaperscissors/app/build.gradle,27, 2018-02-14 00:00:00 ,71, ,,,,,,,,,,,,,,,,,,,,,
android-nearby/connections/walkietalkie/app/build.gradle,27, 2018-02-14 00:00:00 ,71, ,,,,,,,,,,,,,,,,,,,,,
android-Notifications/Shared/build.gradle,27, 2018-03-28 00:00:00 ,113, ,,,,,,,,,,,,,,,,,,,,,
android-WearAccessibilityApp/Wearable/build.gradle,27, 2018-01-25 00:00:00 ,51,26, 2018-03-28 00:00:00 ,219, ,,,,,,,,,,,,,,,,,,
leanback-homescreen-channels/app/build.gradle,27, 2018-04-27 00:00:00 ,143, ,,,,,,,,,,,,,,,,,,,,,
android-AutofillFramework/kotlinApp/Application/build.gradle,26, 2017-06-08 00:00:00 ,0, ,,,,,,,,,,,,,,,,,,,,,
android-play-location/LocationUpdatesForegroundService/app/build.gradle,26, 2017-12-04 00:00:00 ,105, ,,,,,,,,,,,,,,,,,,,,,
android-play-location/LocationUpdatesPendingIntent/app/build.gradle,26, 2017-12-04 00:00:00 ,105, ,,,,,,,,,,,,,,,,,,,,,
android-testing/ui/espresso/RecyclerViewSample/app/build.gradle,26, 2017-07-25 00:00:00 ,0, ,,,,,,,,,,,,,,,,,,,,,
android-testing/ui/espresso/IdlingResourceSample/app/build.gradle,26, 2017-07-25 00:00:00 ,0, ,,,,,,,,,,,,,,,,,,,,,
android-EmojiCompat/kotlinApp/app/build.gradle,26, 2017-06-08 00:00:00 ,0, ,,,,,,,,,,,,,,,,,,,,,
android-EmojiCompat/app/build.gradle,26, 2017-06-08 00:00:00 ,0, ,,,,,,,,,,,,,,,,,,,,,
android-ads/admob/RewardedVideoExample/app/build.gradle,26, 2017-08-16 00:00:00 ,0, ,,,,,,,,,,,,,,,,,,,,,
android-PictureInPicture/kotlinApp/app/build.gradle,26, 2017-06-08 00:00:00 ,0,27, 2017-12-08 00:00:00 ,3, ,,,,,,,,,,,,,,,,,,
android-PictureInPicture/app/build.gradle,26, 2017-06-08 00:00:00 ,0,27, 2017-12-08 00:00:00 ,3, ,,,,,,,,,,,,,,,,,,
android-WearVerifyRemoteApp/Wearable/build.gradle,26, 2017-10-10 00:00:00 ,50,27, 2017-11-09 00:00:00 ,0,26, 2018-03-28 00:00:00 ,219, ,,,,,,,,,,,,,,,
android-WearVerifyRemoteApp/Application/build.gradle,26, 2017-10-10 00:00:00 ,50,27, 2017-11-09 00:00:00 ,0, ,,,,,,,,,,,,,,,,,,
android-WearHighBandwidthNetworking/Wearable/build.gradle,26, 2017-08-11 00:00:00 ,0, ,,,,,,,,,,,,,,,,,,,,,
android-WearComplicationProvidersTestSuite/Wearable/build.gradle,26, 2017-08-11 00:00:00 ,0, ,,,,,,,,,,,,,,,,,,,,,
android-fit/StepCounter/app/build.gradle,26, 2017-11-06 00:00:00 ,77, ,,,,,,,,,,,,,,,,,,,,,
android-ShareActionProvider/Application/build.gradle,26, 2017-10-10 00:00:00 ,50,27, 2018-02-15 00:00:00 ,72, ,,,,,,,,,,,,,,,,,,
android-NotificationChannels/Application/build.gradle,26, 2017-06-08 00:00:00 ,0,27, 2018-02-15 00:00:00 ,72, ,,,,,,,,,,,,,,,,,,
android-NotificationChannels/kotlinApp/Application/build.gradle,26, 2017-06-08 00:00:00 ,0, ,,,,,,,,,,,,,,,,,,,,,
android-DownloadableFonts/kotlinApp/app/build.gradle,26, 2017-06-08 00:00:00 ,0, ,,,,,,,,,,,,,,,,,,,,,
