nameProject,total,add,modify,delete,tipoDistinct,java,javaDistinct,properties,jar,jarDistinct,build.gradle,buildDistinct,pom.xml,pomDistinct,manifest.xml,manifestDistinct,xml,xmlDistinct,bat,batDistinct,md,adoc,read,yaml,yamlDistinct,txt,txtDistinct,sh,shDistinct,travisyml,yml,ymlDistinct,cmd,cmdDistinct,kt,ktDistinct,json,jsonDistinct,other
agbpatro/geospatial587,280,40,201,39,16,177,57,9,3,3,2,2,9,2,0,0,9,2,1,1,11,2,13,0,0,4,4,1,1,0,0,0,1,1,0,0,0,0,60
cynic89/gs-spring-boot,12,1,11,0,3,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0
akhaldi94/tx1,14,4,8,2,1,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
StringerJavaObfuscator/gs-spring-boot,23,5,17,1,5,0,0,0,0,0,6,2,4,2,0,0,8,4,0,0,4,3,7,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
lightgao/gs-spring-boot,47,8,21,18,14,2,2,4,3,3,2,2,1,1,0,0,1,1,2,2,1,2,3,0,0,2,2,11,9,6,0,0,1,1,0,0,2,1,14
brooklyyounce/gs-spring-boot,52,3,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,3,0,0,0,0,0,0,0
himanshumps/gs-spring-boot,14,2,11,1,2,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
PaulHaldane/gs-spring-boot,13,3,10,0,5,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,1
leaqui/gs-spring-boot,15,2,7,6,6,0,0,2,3,3,5,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
anmeng/gs-spring-boot,73,7,62,4,9,3,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,15,3,33,0,0,0,0,0,0,0,0,52
premroxx/gs-spring-boot,14,4,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
albertolop85/gs-spring-boot,14,2,12,0,2,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Pucster/gs-spring-boot,16,2,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,12
cnuss/greeting-service,40,5,21,14,13,3,2,3,1,1,1,1,1,1,0,0,1,1,2,2,8,1,9,0,0,1,1,1,1,10,2,2,0,0,0,0,1,1,15
