project, imports, javaFiles, imports/javaFiles
android-AutofillFramework, 269, 348, 0.77
android-play-location, 93, 22, 4.23
google-services, 105, 19, 5.53
easypermissions, 82, 28, 2.93
android-testing, 120, 58, 2.07
android-Camera2Basic, 57, 4, 14.25
android-credentials, 111, 17, 6.53
android-EmojiCompat, 23, 3, 7.67
android-instant-apps, 113, 38, 2.97
android-nearby, 118, 15, 7.87
android-AppUsageStatistics, 33, 6, 5.50
android-custom-lint-rules, 26, 7, 3.71
android-play-billing, 112, 35, 3.20
android-vision, 101, 48, 2.10
android-ads, 92, 26, 3.54
android-SpeedTracker, 79, 12, 6.58
android-BluetoothLeGatt, 39, 4, 9.75
android-Camera2Raw, 72, 4, 18.00
android-WifiRttScan, 34, 4, 8.50
android-ActionBarCompat-ShareActionProvider, 28, 4, 7.00
android-testdpc, 375, 126, 2.98
android-PictureInPicture, 56, 5, 11.20
android-ActivitySceneTransitionBasic, 31, 11, 2.82
android-Camera2Video, 47, 3, 15.67
android-Notifications, 59, 23, 2.57
android-BasicAccessibility, 24, 9, 2.67
android-XYZTouristAttractions, 127, 18, 7.06
android-WearVerifyRemoteApp, 25, 2, 12.50
android-WearSpeakerSample, 41, 3, 13.67
android-WearHighBandwidthNetworking, 17, 1, 17.00
android-WearDrawers, 20, 2, 10.00
android-WearComplicationProvidersTestSuite, 13, 8, 1.62
android-WearAccessibilityApp, 63, 32, 1.97
android-WatchFace, 115, 17, 6.76
android-RuntimePermissionsWear, 34, 8, 4.25
android-JumpingJack, 43, 12, 3.58
android-DataLayer, 73, 8, 9.12
android-AlwaysOn, 20, 1, 20.00
android-MediaEffects, 41, 11, 3.73
android-DirectBoot, 54, 9, 6.00
leanback-showcase, 378, 154, 2.45
android-MessagingService, 41, 7, 5.86
androidtv-sample-inputs, 262, 59, 4.44
leanback-homescreen-channels, 101, 22, 4.59
android-play-publisher-api, 46, 12, 3.83
androidtv-Leanback, 187, 38, 4.92
android-BluetoothChat, 51, 12, 4.25
android-MediaRecorder, 32, 3, 10.67
android-fit, 59, 31, 1.90
android-DisplayingBitmaps, 127, 21, 6.05
android-testing-templates, 32, 13, 2.46
android-ActivityInstrumentation, 25, 8, 3.12
chromeos-android-draganddrop-demo, 23, 3, 7.67
android-BasicRenderScript, 12, 2, 6.00
android-TensorFlowCloudMachineLearningEngineStylizer, 72, 7, 10.29
android-CustomChoiceList, 20, 9, 2.22
android-WatchViewStub, 11, 1, 11.00
android-Timer, 24, 6, 4.00
android-TextSwitcher, 20, 7, 2.86
android-TextLinkify, 23, 8, 2.88
android-SynchronizedNotifications, 50, 13, 3.85
android-SwipeRefreshMultipleViews, 53, 14, 3.79
android-SwipeRefreshListFragment, 54, 14, 3.86
android-SwipeRefreshLayoutBasic, 49, 13, 3.77
android-StorageProvider, 51, 10, 5.10
android-StorageClient, 43, 10, 4.30
android-SlidingTabsColors, 43, 13, 3.31
android-SlidingTabsBasic, 39, 12, 3.25
android-SkeletonWearableApp, 32, 2, 16.00
android-ShareActionProvider, 29, 4, 7.25
android-ScreenCapture, 40, 10, 4.00
android-ScopedDirectoryAccess, 28, 4, 7.00
