repository,forks,diskUsage_KB,stargazers,watchers,issues,commits,pullRequests,updatedAt,projects,status,ahead_by,behind_by
g41j1n/androidtv-sample-inputs,0,2741,0,1,0,44,0,2015-02-21T08:08:14Z,0,behind,0,151
iriverman/androidtv-sample-inputs,0,5815,0,1,0,57,0,2015-04-29T08:08:24Z,0,behind,0,138
stari4ek/androidtv-sample-inputs,0,7179,0,2,0,72,0,2015-06-25T21:24:35Z,0,behind,0,123
haithemaraissia/androidtv-sample-inputs,0,6066,0,1,0,63,0,2015-07-01T18:25:25Z,0,behind,0,132
MCherifiOSS/androidtv-sample-inputs,0,6066,0,1,0,63,0,2015-07-26T10:34:26Z,0,behind,0,132
czobor/androidtv-sample-inputs,0,6066,0,1,0,63,0,2015-08-08T11:13:19Z,0,behind,0,132
ttyant/androidtv-sample-inputs,0,6678,0,1,0,65,0,2015-08-20T13:35:47Z,0,behind,0,130
ashishvshenoy/androidtv-sample-inputs,0,6716,0,1,0,67,0,2015-08-27T15:01:11Z,0,behind,0,128
FelixZhang00/androidtv-sample-inputs,0,6716,0,1,0,67,0,2015-08-30T01:45:08Z,0,behind,0,128
kppamy/androidtv-sample-inputs,0,16843,0,1,0,68,0,2015-09-01T07:38:18Z,0,diverged,1,128
anirut/androidtv-sample-inputs,0,6842,0,1,0,67,0,2015-09-06T12:43:54Z,0,behind,0,128
naroate/androidtv-sample-inputs,0,6842,0,0,0,67,0,2015-09-21T12:46:30Z,0,behind,0,128
ibrahimkarahan/androidtv-sample-inputs,0,6842,0,1,0,67,0,2015-10-12T18:27:01Z,0,behind,0,128
mattgorski/androidtv-sample-inputs,0,6842,0,1,0,67,0,2015-10-15T18:46:43Z,0,behind,0,128
AlexanderMazaletskiy/androidtv-sample-inputs,0,6842,0,1,0,67,0,2015-10-21T11:53:19Z,0,behind,0,128
MaTriXy/androidtv-sample-inputs,0,6847,0,0,0,72,0,2015-10-31T09:37:30Z,0,behind,0,123
andy163/androidtv-sample-inputs,1,6847,0,1,0,72,0,2015-11-05T01:46:59Z,0,behind,0,123
liuchuangjin/androidtv-sample-inputs,0,6847,0,1,0,72,0,2015-11-13T07:38:58Z,0,behind,0,123
seventhmoon/ott-androidtv,1,6847,1,1,0,72,0,2017-09-04T07:26:10Z,0,behind,0,123
DanMukhatov/androidtv-sample-inputs,0,6847,0,0,0,72,0,2015-12-04T17:49:12Z,0,behind,0,123
mizwhite/androidtv-sample-inputs,0,6847,0,1,0,72,0,2015-12-13T02:20:55Z,0,behind,0,123
in2repid/androidtv-sample-inputs,0,6847,0,1,0,72,0,2015-12-24T19:34:13Z,0,behind,0,123
jonaspiela/androidtv-sample-inputs,0,6172,0,1,0,72,0,2016-01-31T18:09:23Z,0,behind,0,123
prashant31191/androidtv-sample-inputs,0,6847,1,1,0,72,0,2016-02-09T06:04:25Z,0,behind,0,123
snaptv/androidtv-sample-inputs,0,6770,1,2,0,73,0,2016-09-20T09:30:07Z,0,diverged,1,123
lkernan/androidtv-sample-inputs,0,6657,0,1,0,73,0,2016-03-10T00:55:32Z,0,behind,0,122
conqs/androidtv-sample-inputs,0,6657,0,0,0,73,0,2016-03-15T00:25:29Z,0,behind,0,122
hongchaoliang/androidtv-sample-inputs,0,6657,0,1,0,73,0,2016-03-16T06:05:31Z,0,behind,0,122
q315099997/androidtv-sample-inputs,0,7708,0,1,0,80,0,2016-04-07T09:44:16Z,0,behind,0,115
GoldenSoft1/androidtv-sample-inputs,0,7708,0,1,0,80,0,2016-04-13T22:21:34Z,0,behind,0,115
songwenju/androidtv-sample-inputs,0,7708,0,1,0,80,0,2016-04-18T03:11:32Z,0,behind,0,115
danirb/androidtv-sample-inputs,0,7708,0,1,0,80,0,2016-04-26T08:38:26Z,0,behind,0,115
kanhema/androidtv-sample-inputs,0,7708,0,1,0,80,0,2016-04-28T21:54:10Z,0,behind,0,115
dtx525942103/androidtv-sample-inputs,0,7708,0,1,0,80,0,2016-05-05T12:58:03Z,0,behind,0,115
trevd/androidtv-sample-inputs,1,7708,0,0,0,80,0,2016-05-23T02:57:23Z,0,behind,0,115
kleopatra999/androidtv-sample-inputs,0,7708,0,1,0,80,0,2016-06-01T00:56:19Z,0,behind,0,115
pkdevboxy/androidtv-sample-inputs,0,7729,0,1,0,88,0,2016-06-02T09:58:48Z,0,behind,0,107
satyadonka/androidtv-sample-inputs,0,7729,0,1,0,88,0,2016-06-02T10:15:45Z,0,behind,0,107
kiall/androidtv-sample-inputs,0,7729,0,0,0,88,0,2016-06-08T19:18:53Z,0,behind,0,107
pcbfaye/androidtv-sample-inputs,0,7729,0,1,0,88,0,2016-06-15T13:11:27Z,0,behind,0,107
michael-oknov/androidtv-sample-inputs,0,7729,0,1,0,88,0,2016-07-04T11:58:59Z,0,behind,0,107
Borkmywork/androidtv-sample-inputs,0,7729,0,1,0,88,0,2016-08-15T18:27:26Z,0,behind,0,107
paladinstha/androidtv-sample-inputs,0,7729,0,0,0,88,0,2016-08-22T06:04:59Z,0,behind,0,107
tresvecesseis/androidtv-sample-inputs,0,7729,1,1,0,88,0,2016-09-23T13:54:12Z,0,behind,0,107
apringle/androidtv-sample-inputs,0,7729,0,1,0,88,0,2016-10-02T22:18:40Z,0,behind,0,107
ganesan2408/androidtv-sample-inputs,0,7729,0,1,0,88,0,2016-10-04T06:43:12Z,0,behind,0,107
anilkuj/androidtv-sample-inputs,0,7729,0,1,0,88,0,2016-10-26T17:43:28Z,0,behind,0,107
tmkupo/androidtv-sample-inputs,0,23978,0,0,0,182,0,2016-11-09T17:25:27Z,0,behind,0,13
engineerchef/androidtv-sample-inputs,0,24469,0,1,0,182,0,2016-11-09T17:30:16Z,0,behind,0,13
RepoForks/androidtv-sample-inputs,0,24469,0,0,0,182,0,2016-11-14T11:45:33Z,0,behind,0,13
