framework,samples ,framework contributors ,sample contributors ,common contributors ,common/framework ,common/sample
android,android-AutofillFramework,3061,2,0,0,0
android,android-play-location,3061,3,0,0,0
android,google-services,3061,4,1,"0,000326690623979","0,25"
android,easypermissions,3061,5,0,0,0
android,android-testing,3061,2,0,0,0
android,android-Camera2Basic,3061,0,0,0,0
android,android-credentials,3061,1,0,0,0
android,android-EmojiCompat,3061,0,0,0,0
android,android-instant-apps,3061,2,2,"0,000653381247958",1
android,android-nearby,3061,1,1,"0,000326690623979",1
android,android-AppUsageStatistics,3061,0,0,0,0
android,android-custom-lint-rules,3061,0,0,0,0
android,android-play-billing,3061,3,0,0,0
android,android-vision,3061,2,0,0,0
android,android-ads,3061,2,0,0,0
android,android-SpeedTracker,3061,0,0,0,0
android,android-BluetoothLeGatt,3061,0,0,0,0
android,android-Camera2Raw,3061,0,0,0,0
android,android-WifiRttScan,3061,0,0,0,0
android,android-ActionBarCompat-ShareActionProvider,3061,0,0,0,0
android,android-testdpc,3061,39,37,"0,012087553087226","0,948717948717949"
android,android-PictureInPicture,3061,0,0,0,0
android,android-ActivitySceneTransitionBasic,3061,0,0,0,0
android,android-Camera2Video,3061,0,0,0,0
android,android-Notifications,3061,0,0,0,0
android,android-BasicAccessibility,3061,0,0,0,0
android,android-XYZTouristAttractions,3061,0,0,0,0
android,android-WearVerifyRemoteApp,3061,0,0,0,0
android,android-WearSpeakerSample,3061,0,0,0,0
android,android-WearHighBandwidthNetworking,3061,0,0,0,0
android,android-WearDrawers,3061,0,0,0,0
android,android-WearComplicationProvidersTestSuite,3061,0,0,0,0
android,android-WearAccessibilityApp,3061,0,0,0,0
android,android-WatchFace,3061,0,0,0,0
android,android-RuntimePermissionsWear,3061,1,0,0,0
android,android-JumpingJack,3061,0,0,0,0
android,android-DataLayer,3061,0,0,0,0
android,android-AlwaysOn,3061,0,0,0,0
android,android-MediaEffects,3061,0,0,0,0
android,android-DirectBoot,3061,0,0,0,0
android,leanback-showcase,3061,2,1,"0,000326690623979","0,5"
android,android-MessagingService,3061,0,0,0,0
android,androidtv-sample-inputs,3061,9,7,"0,002286834367854","0,777777777777778"
android,leanback-homescreen-channels,3061,0,0,0,0
android,android-play-publisher-api,3061,0,0,0,0
android,androidtv-Leanback,3061,6,1,"0,000326690623979","0,166666666666667"
android,android-BluetoothChat,3061,0,0,0,0
android,android-MediaRecorder,3061,0,0,0,0
android,android-fit,3061,3,1,"0,000326690623979","0,333333333333333"
android,android-DisplayingBitmaps,3061,0,0,0,0
android,android-testing-templates,3061,0,0,0,0
android,android-ActivityInstrumentation,3061,0,0,0,0
android,chromeos-android-draganddrop-demo,3061,2,2,"0,000653381247958",1
android,android-BasicRenderScript,3061,0,0,0,0
android,android-TensorFlowCloudMachineLearningEngineStylizer,3061,1,0,0,0
android,android-CustomChoiceList,3061,0,0,0,0
android,android-WatchViewStub,3061,0,0,0,0
android,android-Timer,3061,0,0,0,0
android,android-TextSwitcher,3061,0,0,0,0
android,android-TextLinkify,3061,0,0,0,0
android,android-SynchronizedNotifications,3061,0,0,0,0
android,android-SwipeRefreshMultipleViews,3061,0,0,0,0
android,android-SwipeRefreshListFragment,3061,0,0,0,0
android,android-SwipeRefreshLayoutBasic,3061,0,0,0,0
android,android-StorageProvider,3061,0,0,0,0
android,android-StorageClient,3061,0,0,0,0
android,android-SlidingTabsColors,3061,0,0,0,0
android,android-SlidingTabsBasic,3061,0,0,0,0
android,android-SkeletonWearableApp,3061,0,0,0,0
android,android-ShareActionProvider,3061,0,0,0,0
android,android-ScreenCapture,3061,0,0,0,0
android,android-ScopedDirectoryAccess,3061,0,0,0,0
android,android-RuntimePermissions,3061,0,0,0,0
android,android-RevealEffectBasic,3061,0,0,0,0
android,android-RepeatingAlarm,3061,0,0,0,0
android,android-RenderScriptIntrinsic,3061,0,0,0,0
android,android-RecyclerView,3061,0,0,0,0
android,android-RecipeAssistant,3061,0,0,0,0
android,android-Quiz,3061,0,0,0,0
android,android-PermissionRequest,3061,0,0,0,0
android,android-PdfRendererBasic,3061,0,0,0,0
android,android-NotificationChannels,3061,0,0,0,0
android,android-NfcProvisioning,3061,0,0,0,0
android,android-NetworkConnect,3061,0,0,0,0
android,android-NavigationDrawer,3061,0,0,0,0
android,android-MultiWindowPlayground,3061,0,0,0,0
android,android-MidiSynth,3061,0,0,0,0
android,android-MidiScope,3061,0,0,0,0
android,android-MediaRouter,3061,0,0,0,0
android,android-MediaBrowserService,3061,0,0,0,0
android,android-LNotifications,3061,0,0,0,0
android,android-JobScheduler,3061,0,0,0,0
android,android-Interpolator,3061,0,0,0,0
android,android-ImmersiveMode,3061,0,0,0,0
android,android-HorizontalPaging,3061,0,0,0,0
android,android-HdrViewfinder,3061,0,0,0,0
android,android-GridViewPager,3061,0,0,0,0
android,android-Geofencing,3061,0,0,0,0
android,android-FloatingActionButtonBasic,3061,0,0,0,0
android,android-Flashlight,3061,0,0,0,0
android,android-FingerprintDialog,3061,0,0,0,0
android,android-FindMyPhone,3061,0,0,0,0
android,android-ElizaChat,3061,0,0,0,0
android,android-ElevationDrag,3061,0,0,0,0
android,android-ElevationBasic,3061,0,0,0,0
android,android-DrawableTinting,3061,0,0,0,0
